Trajectories
100
,,ADL001:RSHO1,,,ADL001:RSHO2,,,ADL001:RSHO3,,,ADL001:RSHO4,,,ADL001:RUAR1,,,ADL001:RUAR2,,,ADL001:RUAR3,,,ADL001:RUAR4,,,ADL001:RLAR1,,,ADL001:RLAR2,,,ADL001:RLAR3,,,ADL001:RLAR4,,,ADL001:RHAN1,,,ADL001:RHAN2,,,ADL001:RHAN3,,,ADL001:RHAN4,,,ADL001:RFTP,,,ADL001:LSHO1,,,ADL001:LSHO2,,,ADL001:LSHO3,,,ADL001:LSHO4,,,ADL001:LUAR1,,,ADL001:LUAR2,,,ADL001:LUAR3,,,ADL001:LUAR4,,,ADL001:LLAR1,,,ADL001:LLAR2,,,ADL001:LLAR3,,,ADL001:LLAR4,,,ADL001:LHAN1,,,ADL001:LHAN2,,,ADL001:LHAN3,,,ADL001:LHAN4,,,ADL001:LFTP,,,ADL001:STRN,,,ADL001:RGTH,,,ADL001:RLEP,,,ADL001:RMEP,,,ADL001:RSPR,,,ADL001:RSPU,,,ADL001:RFB,,,ADL001:RTHUM,,,ADL001:LGTH,,,ADL001:LLEP,,,ADL001:LMEP,,,ADL001:LSPR,,,ADL001:LSPU,,,ADL001:LFB,,,ADL001:LTHUM,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,134.319077,-282.789581,358.277893,155.154358,-339.802917,364.218689,203.653656,-324.197845,331.243103,181.167877,-261.777283,337.736694,256.977997,-261.271118,226.793213,271.151306,-320.712891,204.947327,282.227173,-305.738159,125.613571,270.202637,-250.155502,151.620865,268.522278,-184.612595,62.709652,292.528046,-184.522766,9.628423,261.365051,-107.649681,-2.813210,244.352997,-104.739845,57.170124,199.303726,5.149817,60.561779,247.545990,-0.015040,40.249767,245.286926,29.262869,31.886902,223.799591,26.210024,72.449799,184.138550,126.375839,25.044592,-111.281464,-276.391907,379.287628,-141.120743,-323.969269,390.109772,-197.530838,-304.204315,370.155579,-159.996918,-246.509552,361.510254,-268.998596,-247.457748,248.684601,-282.529510,-304.178345,272.608856,-306.080109,-318.086792,196.751251,-305.477203,-259.721954,173.620438,-297.819946,-187.127182,87.777054,-318.040375,-179.653107,30.447886,-296.099121,-119.887939,13.998129,-262.179474,-95.664093,67.342827,-212.623474,-5.252713,59.591934,-258.260986,-5.803377,53.133850,-264.316284,24.220921,42.043530,-245.402985,20.448641,76.952713,-196.932587,114.657280,26.310453,7.711180,-225.458420,325.192719,,,,,,,,,,,,,,,,178.988190,50.454880,46.197971,129.540298,59.934296,21.663364,,,,,,,,,,,,,,,,-204.000961,41.123806,57.604218,-153.265076,51.264931,16.342299
2,0,134.337448,-282.779724,358.292053,155.169708,-339.783356,364.192383,203.651031,-324.186768,331.241882,181.210510,-261.779663,337.737396,256.992157,-261.276886,226.795731,271.126953,-320.700989,205.015671,282.198944,-305.727081,125.571205,270.192139,-250.129013,151.611618,268.592438,-184.447495,63.035801,292.495178,-184.510559,9.661509,261.325378,-107.680275,-2.842612,244.356430,-104.736885,57.168518,199.368607,5.070804,60.524982,247.550415,0.032665,40.246845,245.273239,29.277359,31.885612,223.779282,26.191582,72.427979,183.707855,126.311600,25.223970,-111.178741,-276.970978,378.348663,-141.124176,-323.951660,390.153137,-197.531448,-304.152679,370.222046,-159.984314,-246.527725,361.507172,-268.971954,-247.500824,248.717941,-282.551453,-304.137970,272.677673,-306.111267,-318.033813,196.835556,-305.478149,-259.690674,173.719452,-297.771545,-187.120956,87.816925,-317.982880,-179.259689,31.130966,-296.103516,-119.902657,14.025533,-262.194550,-95.658516,67.337791,-212.443588,-5.014199,59.265533,-258.271179,-6.099110,52.547390,-264.290527,24.189665,42.022388,-244.209961,21.320662,76.360657,-196.945877,114.643311,26.319586,7.738849,-225.447327,325.196838,,,,,,,,,,,,,,,,179.039673,50.445957,46.337940,129.552200,59.925762,21.644779,,,,,,,,,,,,,,,,-203.983307,41.111710,57.599121,-153.264557,51.290005,16.316862
3,0,134.349503,-282.625946,358.359558,155.157944,-339.765961,364.167786,203.638214,-324.135681,331.290649,181.204346,-261.759460,337.702362,256.978882,-261.275574,226.808380,271.111511,-320.676300,205.035156,282.158539,-305.737946,125.514610,270.190887,-250.156128,151.625504,268.526917,-184.435287,63.072681,292.470734,-184.416794,9.650929,261.332428,-107.645485,-2.862507,244.374619,-104.753967,57.121487,199.385422,5.082135,60.495476,247.499268,0.015595,40.250305,245.338348,29.251005,31.853001,223.811813,26.185198,72.408035,183.708588,126.324654,25.209484,-111.123932,-277.119873,377.953156,-141.136307,-323.891602,390.229126,-197.528656,-304.112732,370.310303,-159.941315,-246.526733,361.526886,-268.983154,-247.530090,248.733322,-282.576050,-304.100891,272.773254,-306.103699,-318.016968,196.913239,-305.547699,-259.613098,173.851852,-297.815918,-187.103104,87.759659,-318.047760,-179.170532,31.216558,-296.118439,-119.866150,14.056997,-262.156311,-95.649345,67.323212,-211.656052,-4.505332,59.074944,-258.254242,-6.096553,52.596924,-264.297943,24.211288,42.001324,-245.385986,20.450474,76.950142,-196.936874,114.653442,26.313719,7.746694,-225.427353,325.210785,,,,,,,,,,,,,,,,179.101807,50.403294,46.293953,129.543671,59.882324,21.518240,,,,,,,,,,,,,,,,-203.981140,41.120869,57.576473,-153.255280,51.270813,16.322201
4,0,134.347992,-282.610168,358.406799,155.220535,-339.749207,364.149994,203.622131,-324.083557,331.274231,181.244980,-261.796356,337.689575,256.984100,-261.283478,226.844635,271.076324,-320.688995,205.056946,282.156189,-305.770447,125.519737,270.185333,-250.153778,151.605545,268.441803,-184.402695,63.046837,292.450958,-184.379425,9.650264,261.354309,-107.607208,-2.927761,244.364746,-104.739624,57.123116,199.374863,5.102072,60.508156,247.460037,0.112015,40.280014,245.308884,29.266542,31.844522,223.801041,26.180511,72.405724,183.700668,126.327980,25.203432,-111.180489,-276.095245,379.753693,-141.140305,-323.848114,390.274445,-197.539856,-304.070618,370.380096,-159.937164,-246.497604,361.527283,-268.976715,-247.530060,248.781204,-282.595490,-304.052307,272.832306,-306.129059,-317.984375,196.979935,-305.591125,-259.583710,173.952454,-297.818634,-187.097794,87.797279,-318.084320,-179.118408,31.293209,-296.092712,-119.868126,14.038695,-262.159668,-95.642555,67.303642,-212.438217,-4.996925,59.239765,-258.252930,-6.084311,52.577488,-264.286987,24.220789,41.987293,-244.164139,21.342134,76.346214,-196.931732,114.683144,26.313742,7.772290,-225.400650,325.204010,,,,,,,,,,,,,,,,179.003510,50.443874,46.209179,129.551804,59.891525,21.440466,,,,,,,,,,,,,,,,-203.988998,41.128021,57.570290,-153.260300,51.281086,16.322603
5,0,134.379456,-282.596222,358.415009,155.230103,-339.721558,364.140930,203.622543,-324.054077,331.259735,181.284622,-261.808838,337.671600,257.032776,-261.294678,226.810913,271.087524,-320.694672,205.060913,282.110809,-305.758942,125.500305,270.189697,-250.150406,151.572647,268.505890,-184.417542,62.979767,292.403748,-184.385941,9.636861,261.327118,-107.597481,-2.879544,244.351166,-104.716560,57.114082,199.316010,5.147451,60.531452,247.484070,0.102335,40.287743,245.277344,29.272015,31.876442,223.803299,26.219669,72.412018,183.703094,126.343193,25.206882,-111.223373,-276.351959,379.349823,-141.126358,-323.831604,390.282959,-197.496002,-304.051453,370.405670,-159.922928,-246.502167,361.580536,-268.989410,-247.528748,248.824875,-282.576050,-304.062531,272.887177,-306.123779,-317.980133,197.038330,-305.585236,-259.569824,173.970932,-297.800690,-187.094666,87.810410,-318.114594,-179.079803,31.313099,-296.085754,-119.799171,14.039052,-262.160645,-95.630165,67.331215,-211.631989,-4.487984,59.044987,-258.225464,-5.820247,53.118011,-264.301788,24.228323,42.011024,-245.306458,20.517643,76.933502,-196.941864,114.671989,26.314636,7.816848,-225.394745,325.182739,,,,,,,,,,,,,,,,179.012665,50.459156,46.171173,129.557510,59.948769,21.604443,,,,,,,,,,,,,,,,-203.981674,41.149216,57.573826,-153.260849,51.285027,16.344830
6,0,134.410538,-282.630981,358.361206,155.239777,-339.782745,364.195648,203.638123,-324.119354,331.227142,181.271545,-261.828827,337.697205,257.033783,-261.346039,226.754364,271.088531,-320.812927,204.955246,282.106995,-305.771698,125.491501,270.212219,-250.225449,151.565094,268.539581,-184.430527,62.949718,292.403046,-184.447159,9.609688,261.244141,-107.627251,-2.895697,244.335052,-104.727341,57.096531,199.352905,5.091446,60.527668,247.467651,0.068045,40.265045,245.326874,29.244251,31.858616,223.806366,26.206066,72.398552,183.722412,126.353935,25.205614,-111.120659,-276.182953,379.658539,-141.078766,-323.857452,390.278870,-197.450302,-304.089661,370.384552,-159.921616,-246.472946,361.623535,-268.980255,-247.538742,248.880875,-282.567963,-304.095581,272.910370,-306.144165,-317.996887,197.054626,-305.574921,-259.649597,173.968323,-297.824127,-187.082077,87.808525,-318.054535,-179.142471,31.287607,-296.088501,-119.779968,14.077851,-262.183136,-95.590302,67.352852,-211.612976,-4.506500,59.068188,-258.236877,-5.813090,53.133358,-264.298218,24.229666,42.031090,-245.105347,20.658552,76.826942,-196.909439,114.693115,26.308893,7.837060,-225.418762,325.205658,,,,,,,,,,,,,,,,179.034668,50.465485,46.269043,129.486740,59.970966,21.494911,,,,,,,,,,,,,,,,-203.971512,41.154190,57.566723,-153.238846,51.280884,16.330116
7,0,134.469025,-282.665283,358.302490,155.269211,-339.836334,364.245300,203.709137,-324.150818,331.135712,181.318909,-261.862823,337.693115,257.094757,-261.384979,226.693848,271.146301,-320.883728,204.839630,282.149017,-305.826569,125.512825,270.242554,-250.251801,151.512466,268.510406,-184.632797,62.557438,292.409180,-184.489807,9.511221,261.276520,-107.610039,-2.939275,244.317169,-104.710098,57.100445,199.361145,5.085033,60.517521,247.529922,0.051894,40.276833,245.316025,29.242544,31.860929,223.852982,26.177353,72.407455,183.721909,126.362144,25.181511,-111.061340,-276.270294,379.575989,-141.017166,-323.911743,390.207825,-197.390686,-304.161682,370.318481,-159.904449,-246.455322,361.640259,-268.985474,-247.514420,248.915741,-282.475159,-304.182007,272.873077,-306.102661,-318.047241,197.036850,-305.528778,-259.719360,173.943405,-297.815308,-187.025391,87.918602,-318.039398,-179.546265,30.744505,-296.092133,-119.752701,14.103856,-262.185211,-95.606972,67.374458,-211.599030,-4.512859,59.075119,-258.232147,-5.820210,53.138107,-264.306763,24.245811,42.080067,-245.384827,20.548145,76.923088,-196.928253,114.672989,26.353073,7.863137,-225.391144,325.194366,,,,,,,,,,,,,,,,179.059677,50.445999,46.387115,129.487274,59.965202,21.523769,,,,,,,,,,,,,,,,-203.976212,41.173210,57.563580,-153.255768,51.276749,16.328197
8,0,134.532440,-282.716461,358.246307,155.329620,-339.790741,364.216583,203.728165,-324.183685,331.080383,181.328369,-261.883881,337.688629,257.103912,-261.369690,226.601059,271.184174,-320.920563,204.798141,282.297668,-306.058197,124.790329,270.302216,-250.270432,151.446899,268.755157,-184.788635,62.279072,292.419556,-184.528976,9.472611,261.243713,-107.617203,-2.915167,244.325897,-104.726463,57.080372,199.380753,5.092743,60.494518,247.541779,-0.007018,40.264618,245.266449,29.237091,31.865726,223.863235,26.094410,72.370796,183.714676,126.339867,25.193058,-111.010017,-276.355347,379.536682,-140.988983,-323.919342,390.195038,-197.319183,-304.192780,370.290955,-159.891388,-246.419540,361.655762,-268.984070,-247.503479,248.955078,-282.444244,-304.196838,272.879150,-306.053040,-318.084869,197.042175,-305.498474,-259.754028,173.945435,-297.820557,-187.031967,87.970886,-318.033051,-179.468948,30.866638,-296.113647,-119.732239,14.078440,-262.219818,-95.582191,67.404068,-212.443451,-5.174786,59.518894,-258.215851,-5.818495,53.117634,-264.353943,24.253885,42.116695,-244.184784,21.350718,76.404099,-196.926743,114.682419,26.313845,7.871401,-225.389206,325.198700,,,,,,,,,,,,,,,,179.065201,50.467216,46.482483,129.539063,59.949322,21.476734,,,,,,,,,,,,,,,,-203.970718,41.148327,57.541962,-153.279709,51.295612,16.328596
9,0,134.522995,-282.763367,358.227905,155.399170,-339.766693,364.199921,203.744308,-324.133820,331.050507,181.356766,-261.906189,337.679718,257.122101,-261.409119,226.643829,271.204895,-320.975861,204.773895,282.026276,-306.006378,124.954277,270.281372,-250.267899,151.444366,268.745178,-184.778397,62.292057,292.410034,-184.489853,9.472353,261.262299,-107.639618,-2.914369,244.322647,-104.730934,57.066196,199.353394,5.108379,60.489433,247.510330,0.046106,40.291084,245.245514,29.241909,31.890236,223.870941,26.085602,72.349686,183.679764,126.366821,25.215193,-110.966118,-276.338806,379.523865,-140.950165,-323.910278,390.231384,-197.305573,-304.173035,370.305817,-159.881973,-246.423508,361.676392,-268.979126,-247.475479,248.978165,-282.463196,-304.147644,272.924713,-306.065491,-318.058990,197.072479,-305.501495,-259.701141,173.997772,-297.859589,-187.011978,87.956451,-318.009094,-179.464127,30.910227,-296.104828,-119.707993,14.103612,-262.183960,-95.574333,67.378349,-212.326355,-5.026234,59.299229,-258.225342,-5.818758,53.119678,-264.324921,24.246664,42.091171,-245.087646,20.764982,76.682205,-196.930573,114.673317,26.334021,7.910089,-225.373917,325.205902,,,,,,,,,,,,,,,,179.039001,50.458786,46.390923,129.545700,59.939743,21.456758,,,,,,,,,,,,,,,,-203.970642,41.153095,57.554771,-153.286407,51.275696,16.334826
