Trajectories
100
,,ADL002:RSHO1,,,ADL002:RSHO2,,,ADL002:RSHO3,,,ADL002:RSHO4,,,ADL002:RUAR1,,,ADL002:RUAR2,,,ADL002:RUAR3,,,ADL002:RUAR4,,,ADL002:RLAR1,,,ADL002:RLAR2,,,ADL002:RLAR3,,,ADL002:RLAR4,,,ADL002:RHAN1,,,ADL002:RHAN2,,,ADL002:RHAN3,,,ADL002:RHAN4,,,ADL002:RFTP,,,ADL002:LSHO1,,,ADL002:LSHO2,,,ADL002:LSHO3,,,ADL002:LSHO4,,,ADL002:LUAR1,,,ADL002:LUAR2,,,ADL002:LUAR3,,,ADL002:LUAR4,,,ADL002:LLAR1,,,ADL002:LLAR2,,,ADL002:LLAR3,,,ADL002:LLAR4,,,ADL002:LHAN1,,,ADL002:LHAN2,,,ADL002:LHAN3,,,ADL002:LHAN4,,,ADL002:LFTP,,,ADL002:STRN,,,ADL002:RGTH,,,ADL002:RLEP,,,ADL002:RMEP,,,ADL002:RSPR,,,ADL002:RSPU,,,ADL002:RFB,,,ADL002:RTHUM,,,ADL002:LGTH,,,ADL002:LLEP,,,ADL002:LMEP,,,ADL002:LSPR,,,ADL002:LSPU,,,ADL002:LFB,,,ADL002:LTHUM,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,84.619850,-107.230240,314.864288,91.106377,-168.853806,310.028442,143.092789,-158.161133,278.466522,135.430206,-95.255295,297.147339,192.486969,-72.134941,212.397552,197.278473,-123.413971,170.331055,233.285080,-87.125946,106.403671,226.646240,-40.908661,150.766678,222.530014,76.879440,95.243912,267.991974,72.090233,54.728180,245.339783,169.281067,46.418137,207.062378,141.019470,93.317757,190.891052,237.706207,79.384933,239.177383,225.975922,63.987053,239.699875,253.995544,53.438652,221.663208,259.459473,90.179283,190.353729,349.360046,44.830482,-148.562546,-112.265175,320.436707,-165.849243,-164.330856,307.155365,-212.545761,-148.524673,267.905182,-193.978165,-87.743782,289.746948,-233.053680,-59.122532,202.248383,-246.753082,-119.054489,188.552460,-267.350250,-86.386108,117.774956,-265.243286,-24.716362,132.114319,-259.898773,56.788822,98.770279,-285.977051,67.794487,47.860317,-264.248535,148.911804,48.491405,-227.131790,134.398636,95.989662,-188.252289,241.311050,72.592491,-233.679459,233.440857,73.402145,-245.021103,259.318451,58.416130,-220.344131,267.610748,89.828766,-202.879074,348.651947,46.752644,-28.038782,-61.997707,279.636505,,,,,,,,,,,,,,,,190.919449,282.602264,67.252090,139.172714,290.013092,46.093048,,,,,,,,,,,,,,,,-195.072632,283.201294,64.465088,-143.050156,286.487610,47.011070
2,0,84.641243,-107.276932,314.874451,91.106064,-168.863068,310.026886,143.061829,-158.080154,278.558502,135.448517,-95.257164,297.169098,192.475067,-72.149063,212.425842,197.283432,-123.404053,170.355194,233.288391,-87.138954,106.418640,226.548141,-40.943626,150.663116,222.532211,76.870560,95.241684,268.020599,72.093674,54.737675,245.322052,169.351685,46.369499,207.040085,141.026550,93.350883,190.786484,237.799042,79.421387,239.293137,225.950272,63.993736,239.757004,254.014557,53.445518,221.767334,259.436829,90.201866,190.345764,349.346588,44.846184,-148.569275,-112.299980,320.423553,-165.818909,-164.375275,307.130066,-212.529190,-148.557587,267.852600,-193.992661,-87.732780,289.761230,-233.096466,-59.069859,202.298859,-246.755676,-119.030899,188.567993,-267.334198,-86.353470,117.740028,-265.279755,-24.720682,132.101425,-259.900909,56.782810,98.768150,-286.016083,67.819557,47.882050,-264.243805,148.913010,48.492031,-227.120941,134.423965,96.025200,-188.428848,241.238037,72.418304,-233.568115,233.387100,73.215599,-245.349091,259.198242,58.593834,-220.272034,267.687714,89.772850,-202.864395,348.633026,46.768593,-28.054344,-61.992085,279.652130,,,,,,,,,,,,,,,,190.921829,282.602783,67.257050,139.177185,290.009583,46.080971,,,,,,,,,,,,,,,,-195.070557,283.201172,64.472595,-143.043716,286.452118,47.003349
3,0,84.619598,-107.278419,314.871429,91.125687,-168.866150,310.021515,142.780212,-158.123337,278.382690,135.582809,-95.046082,297.103088,192.519608,-72.123680,212.457199,197.279892,-123.411377,170.353760,233.246002,-87.153152,106.396385,226.714050,-40.923111,150.785629,222.541626,76.884964,95.251572,268.012299,72.096794,54.730324,245.309875,169.322601,46.406658,207.048065,141.016495,93.350204,190.843414,237.743561,79.383797,239.296326,225.950439,63.998356,239.756180,254.004456,53.455929,221.685577,259.461609,90.189095,190.342331,349.362335,44.837837,-148.767639,-112.386787,320.439850,-165.876678,-164.322937,307.168915,-212.574646,-148.539505,267.885803,-193.991562,-87.720711,289.765167,-233.106995,-59.071625,202.298294,-246.738998,-119.056824,188.580414,-267.320526,-86.334938,117.763275,-265.044647,-24.712751,132.046844,-259.875031,56.795486,98.753029,-286.026276,67.820641,47.876080,-264.242615,148.897308,48.479549,-227.135483,134.407394,96.008354,-188.426651,241.247131,72.412270,-233.697205,233.428986,73.400688,-245.278870,259.178772,58.580898,-220.252472,267.684723,89.780899,-202.930771,348.680603,46.779018,-28.037489,-61.998924,279.677582,,,,,,,,,,,,,,,,190.915756,282.651123,67.265869,139.166107,290.009766,46.084080,,,,,,,,,,,,,,,,-195.089401,283.183990,64.485023,-143.060791,286.442688,47.024311
4,0,84.629761,-107.264389,314.888733,91.239876,-168.881409,310.097015,142.820526,-158.181274,278.393433,135.582977,-95.042572,297.124420,192.507401,-72.147232,212.436874,197.299484,-123.405800,170.359787,233.277328,-87.153206,106.419754,226.670013,-40.916504,150.766220,222.537109,76.888527,95.234039,268.016693,72.089195,54.744610,245.339691,169.337906,46.386040,207.048233,141.010590,93.354889,190.895813,237.763809,79.389565,239.275604,225.949173,64.003265,239.750458,254.010468,53.440613,221.718460,259.446564,90.188660,190.347473,349.358948,44.838520,-148.589737,-112.287994,320.465302,-165.844986,-164.360184,307.140778,-212.572372,-148.532608,267.867188,-193.987503,-87.710709,289.753845,-233.086044,-59.128170,202.283752,-246.742508,-119.050858,188.579514,-267.283478,-86.363403,117.762352,-265.286957,-24.725021,132.095901,-259.895538,56.783882,98.766396,-285.973450,67.818558,47.889420,-264.233673,148.906509,48.490868,-227.117218,134.429947,96.015648,-188.431656,241.238480,72.410522,-233.702667,233.429398,73.398148,-245.257309,259.202118,58.606247,-220.536102,267.492950,89.799248,-202.873062,348.646332,46.769218,-28.042393,-62.009369,279.709229,,,,,,,,,,,,,,,,190.922897,282.644409,67.275963,139.168976,290.014343,46.074852,,,,,,,,,,,,,,,,-195.092484,283.194977,64.503487,-143.062210,286.446106,47.028507
5,0,84.711258,-107.345940,315.048309,91.028885,-168.910522,310.109711,142.826477,-158.172363,278.395233,135.576614,-95.083061,297.130249,192.508759,-72.148636,212.441040,197.266220,-123.424767,170.326462,233.256073,-87.155342,106.388733,226.617950,-40.918617,150.724121,222.529663,76.880043,95.242691,268.008209,72.092880,54.735352,245.314224,169.323975,46.400112,207.054214,141.029434,93.346779,190.848709,237.685150,79.402962,239.240295,225.948303,64.007843,239.732315,254.009628,53.439075,221.746490,259.421356,90.174294,190.334030,349.344299,44.850487,-148.611450,-112.293388,320.470856,-165.854889,-164.304474,307.183716,-212.559311,-148.531235,267.885803,-193.992493,-87.715370,289.784546,-233.099930,-59.071613,202.299103,-246.742569,-119.057953,188.575363,-267.325256,-86.360199,117.771790,-265.213928,-24.738106,132.041229,-259.889557,56.792892,98.776634,-285.993927,67.836052,47.868931,-264.239258,148.925308,48.489792,-227.093323,134.406952,96.001602,-188.429520,241.250122,72.399300,-233.691040,233.428253,73.408417,-245.232941,259.184570,58.546371,-220.573120,267.442474,89.840836,-202.946915,348.696533,46.804344,-28.040691,-62.001122,279.711151,,,,,,,,,,,,,,,,190.921265,282.594727,67.252968,139.163620,290.011749,46.091625,,,,,,,,,,,,,,,,-195.063217,283.174622,64.471359,-143.085815,286.487915,47.029419
6,0,84.640518,-107.284012,314.877991,91.226753,-168.889389,310.095001,142.824890,-158.177277,278.379822,135.578522,-95.101616,297.146301,192.538467,-72.139252,212.442368,197.266083,-123.415359,170.331284,233.245300,-87.169067,106.391182,226.598312,-40.930294,150.713806,222.522278,76.881241,95.230995,268.020721,72.078278,54.729092,245.338974,169.332367,46.421154,207.037811,141.043625,93.328331,191.979919,236.635895,78.490387,239.315735,225.954697,64.006065,239.716385,254.009964,53.429192,221.812836,259.801086,89.724823,190.334412,349.350708,44.832439,-148.608383,-112.299500,320.478271,-165.833160,-164.326172,307.157532,-212.573730,-148.492523,267.902130,-193.973297,-87.722847,289.755707,-233.112091,-59.062897,202.294067,-246.714584,-119.046257,188.612473,-267.273529,-86.378883,117.778015,-265.273254,-24.726250,132.076492,-259.856781,56.786518,98.768936,-286.009674,67.823921,47.899406,-264.260315,148.931183,48.496284,-227.107513,134.423050,96.013855,-188.446350,241.243958,72.400261,-233.696823,233.427124,73.396683,-245.291916,259.200470,58.597374,-220.245728,267.657562,89.782791,-202.854553,348.647278,46.740929,-28.036905,-61.996037,279.724792,,,,,,,,,,,,,,,,190.916885,282.639252,67.275764,139.184906,290.026093,46.083164,,,,,,,,,,,,,,,,-195.034164,283.172974,64.500931,-143.093857,286.482666,47.034359
7,0,84.441414,-107.273651,314.865570,91.217628,-168.888351,310.056549,143.284424,-158.165894,278.563660,135.442734,-95.255486,297.187683,192.507446,-72.142044,212.426346,197.278381,-123.421822,170.337402,233.243835,-87.164368,106.395203,226.683060,-40.926540,150.748123,222.532288,76.887581,95.236572,268.013580,72.084740,54.729603,245.355484,169.293884,46.403557,207.039001,141.032913,93.336243,190.832672,237.685883,79.405479,239.276138,226.002182,64.008507,239.810410,254.048737,53.441185,221.441162,259.597137,90.235367,190.328934,349.357513,44.830341,-148.598663,-112.281235,320.471069,-165.861588,-164.305740,307.169952,-212.523727,-148.514969,267.880005,-193.980606,-87.686035,289.774567,-233.096695,-59.049625,202.310440,-246.717850,-119.046432,188.600662,-267.306915,-86.351173,117.809608,-265.260559,-24.715000,132.050674,-259.884491,56.807938,98.781677,-286.002747,67.806511,47.870167,-264.257446,148.915878,48.471443,-227.105804,134.385895,95.993454,-188.446045,241.233749,72.420723,-233.392517,233.258133,73.344345,-245.089340,259.155853,58.352257,-220.320328,267.581116,89.847122,-202.877380,348.648895,46.776226,-28.046339,-61.993401,279.737488,,,,,,,,,,,,,,,,190.911377,282.648041,67.269569,139.166412,290.001343,46.084805,,,,,,,,,,,,,,,,-195.055649,283.176422,64.519028,-143.057571,286.442932,47.021423
8,0,84.465904,-107.264603,314.864349,91.226364,-168.869461,310.056946,143.230820,-158.094925,278.573425,135.446533,-95.252075,297.167267,192.494110,-72.153221,212.420029,197.277618,-123.404175,170.354324,233.224686,-87.167313,106.369522,226.758255,-40.922379,150.770050,222.533920,76.872864,95.219269,268.014008,72.074509,54.728745,245.323578,169.335114,46.381107,207.058075,141.040695,93.337227,191.131287,237.624802,79.234825,239.236771,225.994980,64.002380,239.706680,254.020966,53.420197,221.631714,259.450317,90.138153,190.356415,349.349701,44.826599,-148.738373,-112.386208,320.449219,-165.861237,-164.281738,307.184570,-212.559570,-148.533813,267.881683,-193.998764,-87.673187,289.797333,-233.092316,-59.049286,202.303864,-246.710022,-118.995110,188.614868,-267.311310,-86.319221,117.809250,-265.184875,-24.647970,131.931717,-259.860474,56.795776,98.766785,-286.157990,67.807747,47.836662,-264.252563,148.936111,48.500301,-227.116699,134.417358,96.020683,-188.430649,241.233521,72.419319,-233.410568,233.259888,73.306366,-245.256195,259.188904,58.602657,-220.387741,267.577148,89.790657,-202.849884,348.661163,46.749622,-28.037447,-61.983665,279.730865,,,,,,,,,,,,,,,,190.941345,282.603210,67.258888,139.149323,290.002228,46.078480,,,,,,,,,,,,,,,,-195.048294,283.183777,64.486328,-143.085495,286.481995,47.017361
9,0,84.609253,-107.229233,314.858521,91.207664,-168.823196,310.032562,142.777863,-158.120316,278.358307,135.439499,-95.265968,297.189697,192.617661,-72.079262,212.507156,197.271927,-123.421173,170.334778,233.216293,-87.167419,106.371231,226.625229,-40.914803,150.701218,222.526337,76.872307,95.216148,268.000061,72.088348,54.727467,245.343033,169.343155,46.398941,207.071396,141.045654,93.336227,190.976685,237.615662,79.302055,239.303635,225.953781,64.000046,239.805496,254.048523,53.404678,221.637070,259.475098,90.184654,190.325928,349.350616,44.810238,-148.613556,-112.282928,320.465302,-165.867432,-164.251266,307.186249,-212.568069,-148.508240,267.887207,-193.996155,-87.681885,289.802826,-233.118073,-59.033073,202.286514,-246.728317,-119.023285,188.626755,-267.330811,-86.320557,117.815178,-265.181946,-24.666054,131.912521,-259.832977,56.792336,98.732681,-286.015259,67.835159,47.892475,-264.264832,148.945679,48.494221,-227.130066,134.411972,96.006912,-188.441437,241.239487,72.410759,-233.678680,233.436249,73.375427,-245.180969,259.111053,58.435986,-220.250427,267.825806,89.646736,-202.918716,348.682556,46.759781,-28.067549,-61.953339,279.744476,,,,,,,,,,,,,,,,190.948807,282.609344,67.261238,139.160034,290.005127,46.085949,,,,,,,,,,,,,,,,-195.020859,283.162689,64.495811,-143.055908,286.496094,46.994602
