Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ADL004:RSHO1,,,ADL004:RSHO2,,,ADL004:RSHO3,,,ADL004:RSHO4,,,ADL004:RUAR1,,,ADL004:RUAR2,,,ADL004:RUAR3,,,ADL004:RUAR4,,,ADL004:RLAR1,,,ADL004:RLAR2,,,ADL004:RLAR3,,,ADL004:RLAR4,,,ADL004:RHAN1,,,ADL004:RHAN2,,,ADL004:RHAN3,,,ADL004:RHAN4,,,ADL004:RFTP,,,ADL004:LSHO1,,,ADL004:LSHO2,,,ADL004:LSHO3,,,ADL004:LSHO4,,,ADL004:LUAR1,,,ADL004:LUAR2,,,ADL004:LUAR3,,,ADL004:LUAR4,,,ADL004:LLAR1,,,ADL004:LLAR2,,,ADL004:LLAR3,,,ADL004:LLAR4,,,ADL004:LHAN1,,,ADL004:LHAN2,,,ADL004:LHAN3,,,ADL004:LHAN4,,,ADL004:LFTP,,,ADL004:STRN,,,ADL004:RGTH,,,ADL004:RLEP,,,ADL004:RMEP,,,ADL004:RSPR,,,ADL004:RSPU,,,ADL004:RFB,,,ADL004:RTHUM,,,ADL004:LGTH,,,ADL004:LLEP,,,ADL004:LMEP,,,ADL004:LSPR,,,ADL004:LSPU,,,ADL004:LFB,,,ADL004:LTHUM,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
14,0,110.050835,-115.858795,331.040833,125.486076,-173.11618,349.286316,181.264847,-158.980408,337.572083,160.402817,-99.954147,332.337463,252.045654,-111.621002,202.171844,263.393311,-175.214554,187.206909,285.401917,-169.246063,109.226044,273.064545,-109.152328,127.609238,253.470123,-58.999844,78.285927,297.81134,-62.818855,35.361355,260.87619,28.246536,16.123667,228.305786,0.998377,68.678452,193.478073,104.369545,55.218132,244.016647,99.373291,43.305595,242.390594,125.455666,31.788752,212.996262,121.772614,66.418396,181.863983,223.434464,22.067497,-58.373947,-128.615311,348.11969,-77.983528,-181.604919,356.148071,-139.99881,-175.419144,342.790894,-114.421097,-107.80088,340.328156,-205.033371,-119.752876,221.538452,-212.05719,-178.807648,239.651443,-229.154114,-186.998398,161.302597,-236.298477,-127.48687,143.301651,-222.747803,-55.229252,82.789619,-248.424942,-48.329437,30.605358,-221.696533,31.750315,23.656216,-184.303894,18.419046,71.079552,-162.843445,101.475227,55.458275,-208.323959,90.57135,48.037865,-216.617493,113.916466,28.747633,-200.041412,123.360481,65.823334,-158.845764,219.117386,22.651447,25.171488,-69.532135,293.864594,,,,,,,,,,,,,,,,184.258438,151.786118,38.58474,128.721634,147.602936,20.088205,,,,,,,,,,,,,,,,-162.493973,148.077347,44.012581,-115.425896,160.880737,21.06105
15,0,110.023827,-115.819389,331.095551,125.533417,-173.074661,349.287628,181.262741,-158.997849,337.575531,160.401978,-99.977875,332.403625,252.05484,-111.63018,202.167786,263.40979,-175.218994,187.242477,285.457886,-169.252075,109.249565,273.076904,-109.176682,127.643509,253.507645,-58.938778,78.33654,297.787994,-62.838718,35.339043,260.827362,28.301977,15.945472,228.294678,1.000869,68.690063,193.51503,104.31321,55.213333,245.223618,100.885544,43.540112,242.382492,125.464615,31.808107,212.564224,120.2033,65.729301,181.872482,223.420425,22.065228,-58.32296,-128.680527,348.092438,-77.946854,-181.622482,356.132324,-139.975723,-175.409241,342.786255,-114.396355,-107.842667,340.304047,-205.035934,-119.714867,221.563309,-212.12529,-178.749741,239.621262,-229.126785,-186.967133,161.314713,-236.280151,-127.495956,143.289612,-222.724396,-55.253098,82.786957,-248.39357,-48.350201,30.577734,-221.738098,31.799269,23.727077,-184.394241,18.518017,71.186012,-162.835068,101.47924,55.461895,-208.629929,90.985756,48.58147,-216.66011,113.932602,28.778233,-200.082306,123.336838,65.847694,-158.850677,219.123749,22.669136,25.159504,-69.550041,293.855347,,,,,,,,,,,,,,,,184.238922,151.825272,38.628429,128.703583,147.618774,20.146578,,,,,,,,,,,,,,,,-162.464172,148.070343,43.987,-115.410286,160.854736,21.038826
16,0,109.984261,-115.83284,331.076019,125.510185,-173.082306,349.287231,181.261322,-158.955078,337.599792,160.383911,-99.995964,332.438873,252.090698,-111.619949,202.189987,263.386963,-175.244812,187.245941,285.42511,-169.246155,109.256714,273.063171,-109.161934,127.646912,253.521774,-58.995934,78.293312,297.782196,-62.83567,35.330399,260.871521,28.234276,16.12528,228.308609,1.093222,68.770844,193.466644,104.38636,55.278809,244.014801,99.374062,43.31469,242.407974,125.456963,31.792887,212.982285,121.795731,66.435806,181.838593,223.432617,22.060545,-58.33963,-128.640381,348.098816,-77.901276,-181.604919,356.157135,-140.002945,-175.434128,342.729401,-114.39415,-107.818512,340.310944,-205.02124,-119.701118,221.544815,-212.031799,-178.822571,239.612915,-229.143463,-186.974579,161.318924,-236.248566,-127.501503,143.297806,-222.718262,-55.254726,82.779091,-248.384506,-48.340202,30.56675,-221.781952,31.82473,23.713039,-184.235474,18.43392,71.073692,-162.878845,101.438835,55.415173,-208.936417,91.391747,49.076077,-216.609451,113.920135,28.747131,-200.093826,123.313713,65.841873,-158.846161,219.149124,22.677677,25.144741,-69.56601,293.859314,,,,,,,,,,,,,,,,184.182236,151.839767,38.6735,128.706314,147.614105,20.127724,,,,,,,,,,,,,,,,-162.481079,148.072235,44.011333,-115.398048,160.848404,21.021029
17,0,110.009247,-115.831589,331.044281,125.491875,-173.100037,349.317719,181.23735,-158.923019,337.647552,160.392975,-99.960876,332.35611,252.078415,-111.608948,202.18721,263.36496,-175.207916,187.253448,285.405457,-169.243393,109.28006,273.10556,-109.17601,127.639931,253.528915,-58.971024,78.29261,297.750671,-62.825703,35.359291,260.903259,28.271152,16.11833,228.314285,1.099797,68.756294,193.495758,104.352058,55.232258,244.01384,99.366875,43.314987,242.373947,125.466522,31.799328,212.888824,121.843468,66.535263,181.838699,223.431366,22.062389,-58.347263,-128.619888,348.101837,-77.782104,-181.635864,356.161041,-139.957214,-175.330353,342.716095,-114.373894,-107.825722,340.278442,-205.013458,-119.733009,221.542114,-211.969788,-178.824509,239.68103,-229.119095,-186.9664,161.286301,-236.270172,-127.480255,143.324768,-222.70871,-55.255116,82.775711,-248.424133,-48.326733,30.590286,-221.744843,31.788149,23.678629,-184.298187,18.393595,71.037689,-162.840851,101.456566,55.38147,-208.941727,91.391304,49.062176,-216.643066,113.935539,28.76017,-200.104568,123.323868,65.857384,-158.85376,219.126877,22.665316,25.155437,-69.557037,293.877228,,,,,,,,,,,,,,,,184.226791,151.825012,38.638474,128.708832,147.621292,20.120985,,,,,,,,,,,,,,,,-162.488266,148.080032,44.019196,-115.429306,160.859283,21.04986
18,0,109.986137,-115.872101,331.043304,125.47271,-173.065277,349.317566,181.248856,-158.931213,337.670837,160.337982,-99.893311,332.382355,252.110718,-111.610458,202.200623,263.358948,-175.178116,187.25563,285.422424,-169.20845,109.266808,273.111023,-109.163086,127.627136,253.535904,-58.984997,78.296249,297.684296,-62.907413,35.330231,260.903107,28.255301,16.136044,228.313721,1.10682,68.781921,193.466599,104.377922,55.294468,244.005051,99.370056,43.325256,242.382813,125.453743,31.814337,212.879333,121.835785,66.547462,181.862274,223.433121,22.063457,-58.352261,-128.612534,348.095337,-77.600273,-181.709564,356.163574,-139.939896,-175.324203,342.692413,-114.392326,-107.796783,340.289886,-205.016586,-119.695305,221.569183,-212.037079,-178.779404,239.609329,-229.09375,-187.006149,161.29747,-236.233795,-127.51342,143.311325,-222.729462,-55.240307,82.79213,-248.406723,-48.331146,30.600813,-221.723053,31.773184,23.689697,-184.236649,18.407005,71.048798,-162.84079,101.470688,55.464176,-208.889694,91.348198,49.03849,-216.645081,113.917885,28.741001,-200.100525,123.301445,65.872421,-158.855301,219.143982,22.662609,25.180391,-69.586647,293.837097,,,,,,,,,,,,,,,,184.227737,151.867004,38.668228,128.727402,147.602539,20.127678,,,,,,,,,,,,,,,,-162.504227,148.078583,44.029701,-115.406906,160.840179,21.030308
19,0,109.964615,-115.872116,331.045868,125.508965,-173.045746,349.357971,181.268814,-158.91713,337.650909,160.43219,-99.941879,332.293396,252.131012,-111.612427,202.197601,263.434387,-175.143707,187.311218,285.455811,-169.21283,109.299767,273.114258,-109.185989,127.650764,253.54245,-58.974445,78.295624,297.764282,-62.879189,35.336475,260.869263,28.332895,15.929296,228.315781,1.121027,68.794945,193.46965,104.341087,55.213238,245.110794,100.694664,43.501713,242.393738,125.457359,31.804382,212.866058,120.829742,65.925407,181.852234,223.428772,22.074728,-58.338104,-128.594315,348.101349,-77.657463,-181.61412,356.214355,-139.944077,-175.321686,342.690704,-114.391678,-107.800591,340.284393,-204.994263,-119.688576,221.556534,-211.977951,-178.784164,239.652802,-229.109238,-186.95961,161.29866,-236.235855,-127.516907,143.328796,-222.699875,-55.259968,82.795235,-248.394409,-48.361,30.59478,-221.705032,31.752863,23.643808,-184.270798,18.400192,71.050339,-162.824066,101.476654,55.45153,-208.920685,91.374069,49.062141,-216.655731,113.923691,28.756977,-200.098907,123.309151,65.874374,-158.866852,219.13884,22.660461,25.161827,-69.54422,293.860748,,,,,,,,,,,,,,,,184.236053,151.856781,38.669777,128.736343,147.604706,20.129118,,,,,,,,,,,,,,,,-162.490814,148.081314,44.021198,-115.403793,160.834396,21.021185
20,0,110.00798,-115.811996,331.083191,125.460388,-173.045288,349.343048,181.268539,-158.922241,337.654144,160.418518,-99.916229,332.327179,252.102737,-111.602409,202.214523,263.37558,-175.159225,187.259674,285.442688,-169.225815,109.280754,273.131653,-109.170753,127.648888,253.557861,-58.938843,78.322083,297.739838,-62.892101,35.334854,260.892822,28.252871,16.157864,228.294632,1.031376,68.699188,193.44899,104.321365,55.217163,243.982239,99.371864,43.319344,242.355942,125.454399,31.811695,212.534561,121.934593,66.630417,181.837402,223.413284,22.057186,-58.356644,-128.540329,348.124481,-77.804237,-181.574875,356.199707,-139.965851,-175.329041,342.73056,-114.389778,-107.782318,340.311859,-205.005585,-119.669441,221.571976,-211.999481,-178.767181,239.672501,-229.116928,-186.957458,161.32373,-236.24968,-127.496613,143.336716,-222.696884,-55.249664,82.789627,-248.367188,-48.377834,30.572773,-221.762268,31.816154,23.766409,-184.287308,18.447409,71.083771,-162.835052,101.473122,55.465424,-208.995804,91.416496,49.095715,-216.641159,113.915955,28.763752,-200.067841,123.327972,65.834778,-158.87738,219.137604,22.667112,25.187038,-69.498489,293.834717,,,,,,,,,,,,,,,,184.230133,151.861359,38.678513,128.708923,147.616486,20.114214,,,,,,,,,,,,,,,,-162.502991,148.075424,44.007114,-115.406662,160.851746,21.034948
21,0,110.080353,-115.765579,331.113983,125.460159,-173.036087,349.330505,181.28273,-158.90657,337.652283,160.369217,-99.904503,332.469421,252.117065,-111.579697,202.214264,263.440887,-175.12236,187.305435,285.4534,-169.219177,109.304855,273.10321,-109.130318,127.665001,253.566742,-58.978371,78.279701,297.693237,-62.883587,35.33844,260.890472,28.237665,16.181692,228.322021,1.060342,68.747528,193.49437,104.342705,55.228184,243.509491,98.837868,43.313774,242.370651,125.446289,31.823725,212.884872,121.853241,66.549988,181.857224,223.430664,22.051046,-58.325954,-128.56366,348.133057,-77.92662,-181.486191,356.217438,-140.002686,-175.343109,342.786438,-114.394745,-107.736671,340.320221,-204.961868,-119.696358,221.565887,-212.009583,-178.747238,239.678497,-229.093735,-186.923706,161.374832,-236.236053,-127.498421,143.343369,-222.687134,-55.234299,82.782387,-248.452896,-48.293411,30.6805,-221.738815,31.788311,23.712179,-184.272827,18.421755,71.079483,-162.862305,101.460831,55.477337,-208.86319,91.329453,49.010574,-216.642181,113.913132,28.760239,-200.10025,123.321495,65.833649,-158.866241,219.13588,22.661621,25.210186,-69.431091,293.799316,,,,,,,,,,,,,,,,184.232697,151.828354,38.641235,128.708115,147.6064,20.131989,,,,,,,,,,,,,,,,-162.470825,148.073517,44.017788,-115.428787,160.842072,21.024826
