Trajectories
100
,,ADL005:RSHO1,,,ADL005:RSHO2,,,ADL005:RSHO3,,,ADL005:RSHO4,,,ADL005:RUAR1,,,ADL005:RUAR2,,,ADL005:RUAR3,,,ADL005:RUAR4,,,ADL005:RLAR1,,,ADL005:RLAR2,,,ADL005:RLAR3,,,ADL005:RLAR4,,,ADL005:RHAN1,,,ADL005:RHAN2,,,ADL005:RHAN3,,,ADL005:RHAN4,,,ADL005:RFTP,,,ADL005:LSHO1,,,ADL005:LSHO2,,,ADL005:LSHO3,,,ADL005:LSHO4,,,ADL005:LUAR1,,,ADL005:LUAR2,,,ADL005:LUAR3,,,ADL005:LUAR4,,,ADL005:LLAR1,,,ADL005:LLAR2,,,ADL005:LLAR3,,,ADL005:LLAR4,,,ADL005:LHAN1,,,ADL005:LHAN2,,,ADL005:LHAN3,,,ADL005:LHAN4,,,ADL005:LFTP,,,ADL005:STRN,,,ADL005:RGTH,,,ADL005:RLEP,,,ADL005:RMEP,,,ADL005:RSPR,,,ADL005:RSPU,,,ADL005:RFB,,,ADL005:RTHUM,,,ADL005:LGTH,,,ADL005:LLEP,,,ADL005:LMEP,,,ADL005:LSPR,,,ADL005:LSPU,,,ADL005:LFB,,,ADL005:LTHUM,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,130.213867,-218.986832,419.919250,132.864319,-279.455811,433.132629,183.039490,-283.056702,400.322906,182.206055,-219.440430,398.891968,244.434082,-199.863007,223.246933,265.815033,-259.538055,205.497131,278.624847,-248.574326,125.167816,259.222992,-192.019333,147.439255,265.705719,-94.673790,66.616821,283.189880,-109.887260,9.863933,257.984985,-13.828273,-2.864487,251.094513,-30.500912,61.713051,222.487213,80.437302,66.183907,265.623383,72.908859,40.043278,265.079468,101.940796,33.744804,248.905548,97.516579,76.486191,210.921555,223.777969,22.376524,-141.136719,-213.019348,441.140594,-157.078690,-266.883606,451.383789,-213.141983,-265.831848,422.221619,-194.036011,-198.812286,415.994507,-260.096680,-182.651123,235.073151,-290.042786,-235.936157,252.236038,-305.875854,-239.224030,173.261673,-288.333344,-181.480057,155.313095,-301.425781,-111.178406,68.885353,-294.792816,-114.195351,10.892196,-275.064453,-33.097580,3.880637,-271.460205,-32.800793,65.680359,-217.675049,88.786430,69.184174,-260.929565,81.897217,52.628780,-267.044464,110.009834,37.129807,-254.635391,113.207916,76.834679,-207.141800,222.017853,25.401991,-5.454834,-179.944031,385.676849,,,,,,,,,,,,,,,,203.502518,140.886490,68.192917,142.115601,154.311417,22.816614,,,,,,,,,,,,,,,,-211.871323,142.827896,66.722649,-144.251419,149.670807,21.038816
2,0,130.191818,-218.983887,419.918701,132.874664,-279.465240,433.132233,183.034119,-283.048157,400.346954,182.166458,-219.415070,398.904999,244.459381,-199.849670,223.263123,265.813629,-259.516968,205.513687,278.624329,-248.552689,125.195641,259.224640,-192.016312,147.442963,265.697296,-94.673515,66.613380,283.181519,-109.873444,9.884852,258.000916,-13.820915,-2.854598,251.091507,-30.479774,61.731834,222.489151,80.431725,66.178177,265.634521,72.920944,40.085609,265.430634,101.840836,34.712135,248.876144,97.519341,76.500092,210.900055,223.774704,22.373587,-141.141373,-213.012238,441.149902,-157.094360,-266.860382,451.408966,-213.151688,-265.788605,422.230865,-194.041626,-198.806732,415.980499,-260.098969,-182.653198,235.072281,-290.091522,-235.913910,252.278809,-305.945190,-239.158936,173.310242,-288.328033,-181.481735,155.319977,-301.432800,-111.114792,68.887817,-294.781891,-114.257751,10.893815,-275.071716,-33.084599,3.892595,-271.477570,-32.763660,65.727699,-217.661026,88.784981,69.160721,-260.907593,81.892433,52.630989,-267.037964,110.017662,37.124546,-254.632828,113.203239,76.851265,-207.127655,222.025803,25.398052,-5.464884,-179.927704,385.716339,,,,,,,,,,,,,,,,203.495316,140.885864,68.207222,142.000412,154.297073,22.858784,,,,,,,,,,,,,,,,-211.864761,142.827988,66.718735,-144.246841,149.678558,21.054392
3,0,130.199371,-218.983597,419.904327,132.903824,-279.453400,433.132202,183.060089,-283.032379,400.348572,182.144302,-219.419220,398.870361,244.453247,-199.851852,223.278183,265.839386,-259.498016,205.542969,278.606750,-248.547806,125.181572,259.217896,-192.011993,147.434723,265.683197,-94.665283,66.620079,283.195099,-109.862907,9.917840,258.001373,-13.814255,-2.855885,251.089813,-30.488840,61.734188,222.478867,80.440315,66.184608,265.654572,72.942192,40.088299,265.485596,101.786751,34.471725,248.879166,97.514145,76.499741,210.900391,223.775787,22.375231,-141.122391,-213.011658,441.146881,-157.092941,-266.847260,451.424225,-213.134171,-265.789093,422.272186,-194.034103,-198.799713,415.981506,-260.094818,-182.648651,235.068665,-290.007355,-235.908890,252.245255,-305.914276,-239.207825,173.311096,-288.323395,-181.471527,155.310654,-301.436554,-111.109787,68.911972,-294.768829,-114.247711,10.884622,-275.067657,-33.092484,3.898298,-271.472382,-32.753963,65.708710,-217.665344,88.768951,69.147736,-260.934204,81.894020,52.627747,-267.034180,110.030151,37.156887,-254.649399,113.196167,76.840126,-207.136749,222.022079,25.386629,-5.472104,-179.934174,385.699951,,,,,,,,,,,,,,,,203.478195,140.878586,68.175926,142.012131,154.288803,22.860737,,,,,,,,,,,,,,,,-211.833145,142.771591,66.672890,-144.241211,149.688980,21.040737
4,0,130.232346,-218.966171,419.940765,132.895157,-279.447021,433.133911,183.039871,-283.034821,400.332001,182.189621,-219.415512,398.904816,244.462967,-199.842194,223.251190,265.803802,-259.493225,205.503860,278.623749,-248.559967,125.172867,259.232544,-192.003860,147.456543,265.690338,-94.666000,66.630119,283.196350,-109.880630,9.887515,257.998383,-13.810753,-2.849005,251.089401,-30.481861,61.737278,222.495148,80.440704,66.187065,265.638763,72.935349,40.086338,265.060913,101.990669,33.765484,248.905075,97.531578,76.485138,210.884735,223.811081,22.381245,-141.109375,-213.000229,441.131531,-157.080124,-266.845947,451.403534,-213.157135,-265.747284,422.261261,-194.014999,-198.795319,415.976868,-260.101563,-182.640549,235.065277,-289.996826,-235.895065,252.273178,-305.929260,-239.157013,173.300079,-288.324677,-181.473114,155.307541,-301.444458,-111.100220,68.920700,-294.787201,-114.195854,10.910702,-275.042358,-33.089130,3.863548,-271.501190,-32.710167,65.737083,-217.640518,88.797249,69.133659,-260.929871,81.893745,52.631718,-267.026093,110.018501,37.109295,-254.629791,113.210823,76.843941,-207.137405,222.022507,25.396151,-5.455139,-179.927063,385.702484,,,,,,,,,,,,,,,,203.471436,140.879623,68.203583,142.009079,154.300278,22.865879,,,,,,,,,,,,,,,,-211.848175,142.832458,66.716286,-144.224960,149.676926,21.027414
5,0,130.242828,-218.969650,419.931091,132.871750,-279.452728,433.138275,183.020340,-283.068146,400.298279,182.232880,-219.444321,398.881653,244.446091,-199.842682,223.271286,265.808746,-259.512115,205.499664,278.615875,-248.563828,125.144783,259.245422,-191.986771,147.451569,265.699036,-94.662788,66.625801,283.205841,-109.879555,9.872097,258.038055,-13.808575,-2.842699,251.076691,-30.481052,61.735855,222.493561,80.441399,66.183731,265.643433,72.937218,40.044365,265.441711,101.827469,34.411510,248.894913,97.503418,76.480919,210.900925,223.775192,22.362682,-141.125534,-213.002670,441.149414,-157.078156,-266.856293,451.376282,-213.144226,-265.747528,422.232697,-194.046967,-198.722977,416.025513,-260.104401,-182.639587,235.069412,-290.082275,-235.882965,252.266434,-305.904388,-239.169205,173.265930,-288.326691,-181.477310,155.317642,-301.450745,-111.103851,68.928558,-294.782623,-114.191628,10.923518,-275.052063,-33.092884,3.884943,-271.485931,-32.756802,65.719986,-217.647614,88.807373,69.169708,-260.921448,81.889282,52.636356,-267.020294,110.034332,37.159092,-254.605316,113.217331,76.834457,-207.139130,222.016830,25.360306,-5.450883,-179.916656,385.695770,,,,,,,,,,,,,,,,203.463852,140.869583,68.208115,142.018570,154.288940,22.856112,,,,,,,,,,,,,,,,-211.855698,142.834244,66.719536,-144.241776,149.670685,21.037439
6,0,130.266663,-218.952362,419.943054,132.889740,-279.438446,433.145081,183.021835,-283.062836,400.277710,182.258911,-219.456253,398.886292,244.437561,-199.834152,223.250977,265.831238,-259.529938,205.480896,278.637390,-248.555832,125.157860,259.243011,-191.999710,147.449539,265.699738,-94.658394,66.621574,283.194092,-109.923996,9.822993,258.039368,-13.812727,-2.853267,251.105881,-30.477533,61.727505,222.491547,80.442398,66.181702,265.598358,72.874832,39.995083,265.116241,101.960205,33.762402,248.911835,97.510712,76.463737,210.876160,223.803345,22.369396,-141.122101,-213.003845,441.154297,-157.071548,-266.862122,451.354889,-213.124603,-265.748199,422.211517,-194.040115,-198.714905,416.027435,-260.109283,-182.645157,235.075287,-290.058502,-235.896545,252.232498,-305.887207,-239.178589,173.234177,-288.333069,-181.477631,155.311401,-301.440094,-111.119354,68.908501,-294.796021,-114.200829,10.891225,-275.073181,-33.050125,3.880326,-271.523956,-32.697098,65.749359,-217.684158,88.798576,69.151077,-260.931519,81.889336,52.632435,-267.030396,110.014877,37.118496,-254.621323,113.212509,76.823341,-207.138641,222.030487,25.386782,-5.432972,-179.939316,385.706329,,,,,,,,,,,,,,,,203.478897,140.866943,68.201294,142.129852,154.314789,22.799660,,,,,,,,,,,,,,,,-211.863678,142.834366,66.719627,-144.234894,149.679489,21.014893
7,0,130.257492,-218.990326,419.939209,132.886703,-279.439758,433.133270,183.055222,-283.111572,400.274078,182.287964,-219.461746,398.899719,244.450363,-199.838730,223.273514,265.823273,-259.531250,205.487122,278.602600,-248.569855,125.151901,259.229675,-192.001068,147.458496,265.715912,-94.685112,66.611580,283.218964,-109.926064,9.826526,258.053253,-13.768833,-2.837152,251.092010,-30.484667,61.742157,222.506332,80.437469,66.171875,265.633667,72.928505,39.991264,265.099243,101.955879,33.754166,248.922668,97.518349,76.461395,210.893997,223.764206,22.369917,-141.132721,-213.000458,441.138641,-157.096619,-266.814819,451.350952,-213.119217,-265.738373,422.203735,-194.024124,-198.714569,416.029694,-260.106689,-182.644592,235.069992,-290.062134,-235.892105,252.228058,-305.881744,-239.192642,173.239990,-288.337006,-181.485382,155.316238,-301.441010,-111.102051,68.922768,-294.808319,-114.203636,10.906120,-275.067719,-33.044094,3.893399,-271.513794,-32.698761,65.736092,-217.676926,88.794083,69.166634,-260.911560,81.896149,52.620625,-267.021118,110.009109,37.122383,-254.628754,113.206429,76.829369,-207.130310,222.034500,25.391245,-5.449736,-179.896545,385.731354,,,,,,,,,,,,,,,,203.454269,140.860886,68.193901,142.136444,154.318665,22.782665,,,,,,,,,,,,,,,,-211.810272,142.791687,66.654533,-144.241623,149.677002,21.015850
8,0,130.286652,-218.970032,419.962433,132.889053,-279.447571,433.140503,183.047913,-283.059937,400.290833,182.282303,-219.439636,398.917938,244.427048,-199.832779,223.257431,265.836731,-259.524292,205.518234,278.627869,-248.569519,125.176712,259.251038,-192.003830,147.475540,265.717834,-94.649818,66.636688,283.200073,-109.919067,9.824147,258.111237,-13.805528,-2.820785,251.094910,-30.468225,61.746410,222.508606,80.440208,66.188194,265.620056,72.896271,40.013203,265.394806,101.863800,34.262005,248.925659,97.521690,76.461838,210.909439,223.780014,22.353251,-141.130844,-212.998795,441.150208,-157.098251,-266.807220,451.368286,-213.120102,-265.726685,422.227203,-194.021027,-198.714630,416.020264,-260.120300,-182.644058,235.081802,-290.054260,-235.889328,252.249298,-305.912567,-239.179642,173.268219,-288.358948,-181.437317,155.336197,-301.453094,-111.101776,68.934639,-294.822449,-114.212074,10.917841,-275.082550,-33.049675,3.905715,-271.488129,-32.737286,65.733284,-217.675354,88.783791,69.139870,-260.928162,81.891655,52.631332,-267.029022,110.032516,37.171425,-254.605408,113.218178,76.832642,-207.147812,222.019150,25.361963,-5.404495,-179.881546,385.726379,,,,,,,,,,,,,,,,203.440063,140.844467,68.230225,142.036179,154.290390,22.836023,,,,,,,,,,,,,,,,-211.876968,142.829697,66.708244,-144.237946,149.669952,21.013838
9,0,130.314178,-218.951950,419.978546,132.909470,-279.440613,433.145599,183.019379,-283.053986,400.327881,182.268723,-219.420135,398.929016,244.463837,-199.825500,223.267929,265.837769,-259.530151,205.516937,278.618744,-248.541229,125.183868,259.247589,-191.989212,147.468887,265.734985,-94.658432,66.621719,283.195160,-109.900131,9.870477,258.128967,-13.808205,-2.818360,251.105515,-30.476051,61.731567,222.500809,80.445068,66.193718,265.632843,72.952736,40.040730,265.117706,101.957848,33.773251,248.923706,97.525078,76.474297,210.879578,223.811432,22.369158,-141.115875,-212.983246,441.144318,-157.103378,-266.786987,451.383698,-213.120956,-265.708008,422.239197,-194.011353,-198.705872,416.023407,-260.113190,-182.645508,235.068558,-290.061615,-235.875122,252.289978,-305.927795,-239.161285,173.293823,-288.341125,-181.417160,155.361862,-301.462494,-111.105377,68.934700,-294.812347,-114.207306,10.911830,-275.079742,-33.055603,3.911873,-271.509094,-32.706352,65.750061,-217.676392,88.793350,69.128220,-260.938599,81.888466,52.644150,-267.068604,110.055519,37.156860,-254.615479,113.215088,76.830826,-207.140610,222.016602,25.351337,-5.413558,-179.858795,385.717407,,,,,,,,,,,,,,,,203.438950,140.841492,68.229958,142.051147,154.308121,22.835800,,,,,,,,,,,,,,,,-211.854752,142.855713,66.730026,-144.248001,149.663879,21.007286
