Trajectories
100
,,ADL006:RSHO1,,,ADL006:RSHO2,,,ADL006:RSHO3,,,ADL006:RSHO4,,,ADL006:RUAR1,,,ADL006:RUAR2,,,ADL006:RUAR3,,,ADL006:RUAR4,,,ADL006:RLAR1,,,ADL006:RLAR2,,,ADL006:RLAR3,,,ADL006:RLAR4,,,ADL006:RHAN1,,,ADL006:RHAN2,,,ADL006:RHAN3,,,ADL006:RHAN4,,,ADL006:RFTP,,,ADL006:LSHO1,,,ADL006:LSHO2,,,ADL006:LSHO3,,,ADL006:LSHO4,,,ADL006:LUAR1,,,ADL006:LUAR2,,,ADL006:LUAR3,,,ADL006:LUAR4,,,ADL006:LLAR1,,,ADL006:LLAR2,,,ADL006:LLAR3,,,ADL006:LLAR4,,,ADL006:LHAN1,,,ADL006:LHAN2,,,ADL006:LHAN3,,,ADL006:LHAN4,,,ADL006:LFTP,,,ADL006:STRN,,,ADL006:RGTH,,,ADL006:RLEP,,,ADL006:RMEP,,,ADL006:RSPR,,,ADL006:RSPU,,,ADL006:RFB,,,ADL006:RTHUM,,,ADL006:LGTH,,,ADL006:LLEP,,,ADL006:LMEP,,,ADL006:LSPR,,,ADL006:LSPU,,,ADL006:LFB,,,ADL006:LTHUM,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,117.549408,-211.321960,334.981506,138.175552,-266.167969,355.601196,188.623184,-256.844879,321.017639,167.060532,-199.200439,311.543915,261.664124,-235.090210,177.215912,261.951965,-298.176025,156.621872,294.830200,-289.981842,82.187218,293.634460,-231.078171,107.105728,296.330597,-166.744583,64.654022,337.022003,-179.136902,20.608614,321.670837,-81.097008,5.536351,285.751343,-101.955658,58.416096,262.641174,17.993179,65.719978,309.596191,18.066994,44.479080,306.148621,45.458073,40.174744,284.566467,38.252529,79.842720,238.687576,147.656540,23.175400,-139.351242,-211.826309,344.136353,-162.852631,-262.060638,357.557983,-217.816498,-254.220551,328.606140,-189.462448,-191.867081,317.096436,-279.531494,-220.995483,194.046509,-281.788361,-283.249176,207.558044,-301.315308,-287.471710,129.445755,-312.983337,-226.653015,116.711205,-309.026825,-170.120438,70.060043,-343.833038,-158.433945,24.689131,-317.963196,-78.934181,19.284145,-273.414307,-94.627686,59.518467,-246.618256,25.328133,65.889435,-289.823700,20.420156,48.452808,-294.729828,48.652409,34.804836,-283.308105,49.958584,74.696045,-227.287292,149.428528,24.783489,-6.718290,-178.554123,302.167572,,,,,,,,,,,,,,,,260.067566,73.445641,63.137451,194.874603,83.006508,19.734531,,,,,,,,,,,,,,,,-236.372696,77.107796,65.858009,-174.922302,80.200424,20.987892
2,0,117.548149,-211.307281,335.000549,138.118164,-266.228180,355.645569,188.583694,-256.820190,321.016998,167.039551,-199.209930,311.589081,261.647064,-235.099350,177.222290,261.946686,-298.181610,156.624344,294.777344,-290.017609,82.213440,293.590332,-231.047943,107.137756,296.285645,-166.747009,64.693199,336.990692,-179.104767,20.621643,321.675812,-81.051514,5.544806,285.707886,-101.968941,58.404202,262.661682,17.969234,65.735565,309.385498,17.821365,44.469112,305.998596,45.335022,40.160324,284.559174,38.236809,79.856911,238.709824,147.658478,23.197828,-139.389450,-211.817139,344.171753,-162.965652,-262.135712,357.681549,-217.861908,-254.176743,328.599915,-189.512100,-191.816223,317.117676,-279.539459,-220.985611,194.037857,-281.787872,-283.233765,207.578842,-301.311188,-287.475800,129.433044,-312.982483,-226.639420,116.706367,-309.027924,-170.097580,70.076454,-343.832062,-158.435623,24.658300,-317.960876,-78.940224,19.265858,-273.426788,-94.631401,59.513664,-246.834396,25.348000,65.862785,-289.817017,20.438896,48.493317,-294.738464,48.653835,34.817490,-283.325256,49.944836,74.696289,-227.256592,149.441788,24.814991,-6.692159,-178.570587,302.190857,,,,,,,,,,,,,,,,260.077728,73.444572,63.142254,194.884933,83.016731,19.728943,,,,,,,,,,,,,,,,-236.409256,77.125114,65.835808,-174.908630,80.203934,20.977970
3,0,117.519028,-211.312332,335.006042,138.130142,-266.192841,355.660461,188.586090,-256.797760,321.051636,167.015686,-199.223465,311.597443,261.604553,-235.071350,177.241699,261.899872,-298.120026,156.633179,294.755737,-289.974152,82.217697,293.570343,-231.058167,107.158859,296.273682,-166.755157,64.699936,336.974640,-179.115356,20.640440,321.643433,-81.086212,5.524207,285.702728,-101.972740,58.442833,262.649078,17.962465,65.734406,309.352417,17.817873,44.475670,306.066956,45.425335,40.152615,284.539642,38.226402,79.848785,238.707275,147.659622,23.219200,-139.419250,-211.808731,344.197174,-162.922699,-262.042175,357.581055,-217.880508,-254.189972,328.599365,-189.558212,-191.833542,317.137390,-279.557983,-220.992065,194.062836,-281.805878,-283.240814,207.589706,-301.317352,-287.473572,129.434570,-313.013702,-226.616302,116.700714,-309.043274,-170.101166,70.050591,-343.855835,-158.445480,24.684412,-317.975189,-78.930717,19.294622,-273.458160,-94.604004,59.520336,-246.606888,25.315815,65.908539,-289.823181,20.441113,48.497169,-294.745300,48.653458,34.838490,-283.316895,49.953484,74.682396,-227.268234,149.479172,24.807554,-6.758839,-178.509399,302.227448,,,,,,,,,,,,,,,,260.070862,73.447906,63.137203,194.858902,83.046799,19.737530,,,,,,,,,,,,,,,,-236.284500,77.105110,65.885727,-174.897400,80.226631,20.996485
4,0,117.513420,-211.311325,335.097992,138.086060,-266.200195,355.694153,188.566360,-256.796875,321.111603,167.007263,-199.131073,311.669769,261.596771,-235.049377,177.265015,261.902435,-298.133545,156.665558,294.756195,-289.957336,82.256439,293.549805,-231.054443,107.168724,296.233551,-166.751541,64.706284,336.934479,-179.130997,20.691572,321.642487,-81.045975,5.632518,285.669464,-101.917137,58.463413,262.539581,18.170675,65.894531,309.424133,17.868128,44.500992,305.988586,45.343578,40.170231,284.573486,38.240654,79.834694,238.692841,147.688889,23.216072,-139.460205,-211.794983,344.211212,-162.947708,-262.051514,357.598969,-217.924881,-254.202759,328.623779,-189.552124,-191.838425,317.156891,-279.570831,-220.967545,194.054657,-281.819611,-283.230133,207.566315,-301.364441,-287.426208,129.446701,-313.026276,-226.607971,116.714577,-309.068542,-170.109390,70.079575,-343.880554,-158.442520,24.697390,-317.992279,-78.944069,19.299967,-273.482727,-94.611496,59.552586,-246.625351,25.343987,65.891617,-289.825806,20.439665,48.493820,-294.737427,48.664822,34.815239,-283.341156,49.947174,74.721680,-227.285843,149.453629,24.848200,-6.784083,-178.511154,302.285370,,,,,,,,,,,,,,,,260.070740,73.470757,63.119598,194.863846,83.062439,19.781147,,,,,,,,,,,,,,,,-236.274582,77.104439,65.877747,-174.921875,80.218246,21.023052
5,0,117.493820,-211.323242,335.074402,138.086029,-266.156067,355.717987,188.561203,-256.796722,321.149109,167.033173,-199.101166,311.703156,261.582520,-235.028717,177.293900,261.901489,-298.115723,156.721451,294.737823,-289.944672,82.272514,293.514954,-231.041565,107.171951,296.189575,-166.722870,64.698204,336.925293,-179.118713,20.714861,321.638794,-81.041885,5.685856,285.668060,-101.934464,58.459675,262.507690,18.115396,65.739243,309.340851,17.799274,44.448769,306.110321,45.454601,40.175900,284.546631,38.347679,79.787056,238.679321,147.683853,23.217876,-139.486694,-211.802368,344.217163,-162.971237,-262.057159,357.615906,-218.088181,-254.103836,328.711121,-189.590500,-191.848557,317.186401,-279.611908,-220.983398,194.056503,-281.861755,-283.202484,207.587845,-301.370880,-287.431366,129.434372,-313.039825,-226.625824,116.721626,-309.078033,-170.111267,70.080368,-343.867065,-158.445480,24.691984,-317.999878,-78.937714,19.287394,-273.504547,-94.623230,59.514805,-246.609650,25.350100,65.903870,-289.834595,20.428684,48.450073,-294.747833,48.651119,34.795845,-283.339630,49.981045,74.705101,-227.290115,149.430984,24.787590,-6.784552,-178.519150,302.302582,,,,,,,,,,,,,,,,260.074188,73.454704,63.128887,194.835281,83.053894,19.724417,,,,,,,,,,,,,,,,-236.391418,77.120918,65.881889,-174.936707,80.245171,20.993692
6,0,117.476997,-211.268433,335.092773,138.090469,-266.117035,355.756500,188.555389,-256.769440,321.177734,167.019577,-199.101151,311.703888,261.546143,-235.020508,177.282288,261.868683,-298.109222,156.734589,294.730438,-289.916138,82.282623,293.518707,-231.024216,107.190872,296.161163,-166.722015,64.711792,336.921478,-179.117325,20.718178,321.710175,-80.982346,5.726700,285.621918,-101.940536,58.433849,262.592285,18.041185,65.780823,309.099030,17.500980,44.104305,306.120117,45.436695,40.149685,284.553833,38.355118,79.814537,238.677536,147.696808,23.195053,-139.509155,-211.810425,344.213837,-162.990982,-262.094147,357.597443,-218.099014,-254.117554,328.722137,-189.617874,-191.849655,317.162170,-279.631348,-220.987106,194.062271,-281.844727,-283.247894,207.582489,-301.386047,-287.443451,129.447083,-313.047546,-226.642929,116.684166,-309.126312,-170.075775,70.084106,-343.906647,-158.451614,24.678326,-318.013428,-78.926155,19.301138,-273.516693,-94.624718,59.506783,-246.631332,25.357000,65.845337,-289.843933,20.432228,48.442272,-294.723389,48.654671,34.752892,-283.353455,49.943192,74.717979,-227.322464,149.436295,24.810392,-6.790815,-178.523071,302.312836,,,,,,,,,,,,,,,,260.071991,73.461395,63.128948,194.865952,83.056770,19.736094,,,,,,,,,,,,,,,,-236.295670,77.081528,65.901459,-174.949493,80.221939,21.010614
7,0,117.438377,-211.254852,335.025970,138.076645,-266.117920,355.796600,188.556412,-256.759033,321.207855,167.023438,-199.102554,311.707214,261.544189,-235.014664,177.308716,261.877380,-298.113129,156.757156,294.704926,-289.912262,82.275116,293.500214,-230.998840,107.200851,296.155670,-166.720688,64.736893,336.911621,-179.107391,20.733366,321.689758,-80.985329,5.736994,285.629272,-101.931442,58.449944,262.466278,18.219933,65.881523,309.364014,17.850468,44.433151,306.093170,45.431236,40.160980,284.589386,38.312542,79.910263,238.676086,147.693420,23.203520,-139.533859,-211.835983,344.205780,-163.007355,-262.085938,357.626831,-218.119263,-254.149200,328.663391,-189.624252,-191.865631,317.189880,-279.647644,-220.965897,194.062775,-281.849396,-283.254608,207.577560,-301.398224,-287.439575,129.444977,-313.050781,-226.639877,116.669121,-309.123291,-170.094849,70.054482,-343.887665,-158.443359,24.652559,-317.994110,-78.928978,19.290447,-273.502716,-94.618774,59.502777,-246.807190,25.382748,65.857849,-289.823578,20.424845,48.418602,-294.743988,48.647213,34.760078,-283.357666,49.980549,74.714104,-227.294800,149.426254,24.794024,-6.828636,-178.474075,302.355347,,,,,,,,,,,,,,,,260.067719,73.454803,63.136326,194.848236,83.063461,19.732805,,,,,,,,,,,,,,,,-236.270447,77.068771,65.896538,-174.946701,80.220078,20.999001
8,0,117.455231,-211.314178,335.064056,138.046921,-266.122681,355.789581,188.559265,-256.776703,321.215332,167.022079,-199.095947,311.742523,261.571747,-235.002411,177.310440,261.899475,-298.098114,156.762802,294.699982,-289.920074,82.287613,293.490295,-230.991760,107.207077,296.134979,-166.726608,64.748413,336.894196,-179.125793,20.729733,321.698761,-81.016136,5.677173,285.606873,-101.931084,58.443253,262.477081,18.130234,65.748299,309.500763,18.040440,44.396839,306.132080,45.470940,40.200474,284.574524,38.357498,79.851273,238.656158,147.692795,23.193218,-139.538605,-211.847122,344.214996,-163.026291,-262.096252,357.626038,-218.101074,-254.146103,328.711823,-189.622452,-191.864700,317.188110,-279.650330,-220.990204,194.070877,-281.845825,-283.251831,207.585495,-301.406006,-287.443573,129.435242,-313.050903,-226.644836,116.667084,-309.082336,-170.102997,70.076492,-343.865601,-158.430817,24.697515,-317.978760,-78.923386,19.284538,-273.499298,-94.616188,59.497242,-246.627701,25.364698,65.830719,-289.843689,20.424711,48.438236,-294.750519,48.646698,34.777855,-283.355865,49.982082,74.706253,-227.313385,149.413742,24.824650,-6.824256,-178.462372,302.371796,,,,,,,,,,,,,,,,260.082764,73.464935,63.143826,194.843506,83.077827,19.731728,,,,,,,,,,,,,,,,-236.369888,77.103470,65.924774,-174.939636,80.229134,21.016108
9,0,117.457840,-211.309784,335.040710,138.085114,-266.130859,355.789520,188.566345,-256.764740,321.215942,167.029343,-199.098145,311.778107,261.569763,-235.003510,177.309433,261.903564,-298.106995,156.770004,294.721039,-289.911102,82.300301,293.490051,-230.990479,107.221054,296.144531,-166.708817,64.764503,336.871643,-179.082748,20.757317,321.646393,-81.030617,5.694029,285.645386,-101.914787,58.481125,262.478363,18.152037,65.732109,309.515198,17.972258,44.471718,306.143768,45.472099,40.188431,284.589081,38.322800,79.907555,238.684601,147.709335,23.212049,-139.522644,-211.855453,344.244934,-163.008667,-262.104523,357.618591,-218.096725,-254.159119,328.714661,-189.624969,-191.869980,317.197357,-279.640961,-221.018616,194.076065,-281.846863,-283.255920,207.587372,-301.371155,-287.442261,129.414322,-313.021606,-226.645538,116.679451,-309.065247,-170.091476,70.072014,-343.838684,-158.427536,24.677958,-317.984131,-78.913574,19.305433,-273.464355,-94.588074,59.503986,-246.635925,25.371950,65.843262,-289.842255,20.425062,48.448139,-294.750336,48.662525,34.827354,-283.349640,49.953705,74.702644,-227.307693,149.441574,24.813662,-6.781497,-178.470718,302.424805,,,,,,,,,,,,,,,,260.075867,73.460205,63.123524,194.860779,83.078651,19.726856,,,,,,,,,,,,,,,,-236.365768,77.118088,65.926949,-174.938919,80.238182,21.023119
