Trajectories
100
,,ADL006:RSHO1,,,ADL006:RSHO2,,,ADL006:RSHO3,,,ADL006:RSHO4,,,ADL006:RUAR1,,,ADL006:RUAR2,,,ADL006:RUAR3,,,ADL006:RUAR4,,,ADL006:RLAR1,,,ADL006:RLAR2,,,ADL006:RLAR3,,,ADL006:RLAR4,,,ADL006:RHAN1,,,ADL006:RHAN2,,,ADL006:RHAN3,,,ADL006:RHAN4,,,ADL006:RFTP,,,ADL006:LSHO1,,,ADL006:LSHO2,,,ADL006:LSHO3,,,ADL006:LSHO4,,,ADL006:LUAR1,,,ADL006:LUAR2,,,ADL006:LUAR3,,,ADL006:LUAR4,,,ADL006:LLAR1,,,ADL006:LLAR2,,,ADL006:LLAR3,,,ADL006:LLAR4,,,ADL006:LHAN1,,,ADL006:LHAN2,,,ADL006:LHAN3,,,ADL006:LHAN4,,,ADL006:LFTP,,,ADL006:STRN,,,ADL006:RGTH,,,ADL006:RLEP,,,ADL006:RMEP,,,ADL006:RSPR,,,ADL006:RSPU,,,ADL006:RFB,,,ADL006:RTHUM,,,ADL006:LGTH,,,ADL006:LLEP,,,ADL006:LMEP,,,ADL006:LSPR,,,ADL006:LSPU,,,ADL006:LFB,,,ADL006:LTHUM,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
3,0,92.366074,-282.460388,391.922577,131.514145,-330.920898,385.200134,176.036591,-289.366211,374.951324,134.776291,-245.654663,394.053253,200.524506,-143.132462,345.940216,216.567993,-133.605728,282.130585,213.721863,-52.046871,277.454681,201.897522,-66.289856,339.366364,204.636353,103.657440,357.979218,220.298279,96.133278,299.545074,208.503464,195.488297,303.648376,197.939377,169.043900,364.341125,200.386368,303.731262,374.614349,201.693146,310.267944,324.118500,195.026794,337.168915,328.939117,222.117371,327.374786,364.314087,158.767822,433.642212,390.248108,-124.596069,-295.460449,393.514709,-157.862900,-339.368927,377.513062,-210.628220,-307.339905,367.295563,-170.080414,-256.214325,391.220123,-234.722076,-170.914215,359.782318,-264.273285,-196.868042,310.108185,-266.264435,-120.010872,285.801331,-251.380539,-90.630386,339.248230,-244.993088,74.069695,380.563568,-273.241211,86.616203,331.101990,-261.633057,169.243286,339.880951,-223.168854,155.011490,386.360931,-244.946030,293.989136,388.583771,-246.740662,294.509003,340.207855,-235.876328,321.734711,333.495758,-266.575317,322.752289,361.206573,-216.309143,421.775452,395.478821,-12.745518,-240.871185,354.846436,206.504379,-246.735352,365.561859,210.665588,10.889623,299.597900,130.152069,12.813406,266.255615,188.637589,252.902008,378.841980,204.001129,261.193878,326.984467,195.863098,358.776550,382.572845,138.063049,357.452545,431.329590,-224.032059,-258.138031,372.852173,-260.577972,-6.376554,314.674164,-191.575073,3.871739,270.097015,-240.433228,245.231873,388.695404,-247.414993,243.656799,340.503784,-238.526062,344.436890,398.925446,-167.473999,344.500336,436.225922
4,0,92.697937,-282.317780,392.281097,131.469406,-330.934814,385.165802,176.049210,-289.427734,374.965759,134.771179,-245.699768,394.065521,200.550186,-143.180664,345.963623,216.570404,-133.667313,282.180420,213.728043,-52.065685,277.473907,201.918991,-66.308968,339.424652,204.658005,103.615387,358.007416,220.306305,96.089798,299.605530,208.253540,195.404404,303.699921,197.967606,169.015244,364.375092,200.414658,303.733521,374.631042,201.748734,310.202026,324.190491,195.336105,337.221344,328.659088,222.152908,327.318665,364.333984,158.807709,433.630157,390.297516,-124.569817,-295.498962,393.491791,-157.837509,-339.363281,377.493866,-210.597290,-307.336487,367.279358,-170.041962,-256.242706,391.201996,-234.698273,-170.902969,359.779877,-264.256622,-196.861008,310.106232,-266.203613,-120.051048,285.765930,-251.320236,-90.624542,339.231720,-244.948593,74.081573,380.530090,-273.202881,86.635406,331.052094,-261.594208,169.273254,339.811523,-223.141754,155.019455,386.308838,-244.842346,293.969940,388.484528,-246.750229,294.495239,340.133545,-235.828171,321.772888,333.411011,-266.536041,322.703064,361.188080,-216.112564,421.610840,395.267120,-12.724997,-240.893326,354.831146,206.492432,-246.788895,365.579498,210.671036,10.882998,299.627167,130.225952,12.770802,266.313293,188.653183,252.873444,378.885529,204.046127,261.186584,327.019104,195.896729,358.752136,382.629120,138.090073,357.457458,431.367676,-223.975784,-258.127930,372.817200,-260.554901,-6.352833,314.641174,-191.563522,3.867794,270.034729,-240.339249,245.227280,388.643494,-247.399048,243.679214,340.462921,-238.445068,344.426666,398.847656,-167.418427,344.515900,436.133636
5,0,92.694092,-282.329346,392.243469,131.484421,-330.948334,385.180817,176.048447,-289.441803,374.969666,134.767548,-245.745728,394.087006,200.541687,-143.186340,346.003418,216.570587,-133.659714,282.216553,213.751450,-52.072762,277.520721,201.908646,-66.346802,339.446960,204.678146,103.579765,358.075043,220.309891,96.085312,299.634399,208.507065,195.444992,303.741089,197.983658,168.965225,364.421906,200.402039,303.688110,374.672668,201.757385,310.192444,324.224670,195.048019,337.090149,329.029449,222.148895,327.306458,364.422791,158.829880,433.628937,390.348969,-124.569908,-295.495178,393.501831,-157.833389,-339.364136,377.485626,-210.602890,-307.318634,367.287598,-170.009811,-256.255005,391.201263,-234.645309,-170.913422,359.779327,-264.227966,-196.861267,310.086090,-266.175049,-120.039330,285.731903,-251.331238,-90.602859,339.205353,-244.910172,74.108696,380.490906,-273.167633,86.609619,331.016449,-261.585297,169.279068,339.785645,-223.092102,155.051239,386.260742,-244.786179,293.993042,388.408997,-246.714294,294.457581,340.104980,-235.790573,321.798157,333.304993,-266.507935,322.714050,361.156403,-216.040878,421.628998,395.176575,-12.730816,-240.873093,354.848785,206.509308,-246.844299,365.595032,210.672592,10.855265,299.681976,130.199799,12.754683,266.350433,188.679855,252.823059,378.932800,204.069855,261.129486,327.114319,195.839935,358.732635,382.687897,138.095230,357.437225,431.429871,-223.991592,-258.124695,372.823914,-260.516388,-6.341730,314.632477,-191.549698,3.882069,270.025360,-240.289368,245.253937,388.582520,-247.326675,243.635910,340.382813,-238.412003,344.453308,398.805634,-167.338882,344.510834,436.060577
6,0,92.305618,-282.571594,391.873291,131.498611,-330.976013,385.201935,176.060150,-289.448822,375.001068,134.762619,-245.744247,394.110687,200.540970,-143.203003,346.033875,216.554977,-133.685730,282.238739,213.718445,-52.097416,277.576050,201.946472,-66.367378,339.485291,204.695602,103.544632,358.127350,220.303497,96.087433,299.697784,208.521683,195.451889,303.799500,197.990265,168.937958,364.502289,200.405853,303.665649,374.726166,201.789337,310.170593,324.295898,195.030594,336.958801,328.917053,222.176208,327.307343,364.486176,158.904526,433.593658,390.443207,-124.560120,-295.488556,393.509430,-157.842178,-339.340759,377.518036,-210.581528,-307.324036,367.291138,-170.008102,-256.241028,391.204895,-234.613464,-170.848312,359.758484,-264.179504,-196.834702,310.070038,-266.158997,-120.031967,285.719940,-251.303940,-90.577545,339.155060,-244.872559,74.134033,380.465515,-273.127228,86.636871,330.999725,-261.510742,169.289734,339.728241,-223.054947,155.040176,386.229523,-244.747879,294.020172,388.327332,-246.834671,294.360474,340.056366,-235.712097,321.811340,333.231903,-266.458313,322.742340,361.117432,-215.982788,421.626465,395.089508,-12.212537,-240.818390,354.732147,206.527588,-246.859085,365.617554,210.699432,10.796137,299.749725,130.208221,12.763640,266.434814,188.670273,252.820724,378.992798,204.073013,261.115479,327.190857,195.496338,358.398743,382.334290,138.145432,357.379730,431.531708,-223.959076,-258.095917,372.879028,-260.727142,-6.306354,314.680786,-191.492142,3.823535,270.002472,-240.257645,245.287140,388.496429,-247.302444,243.668869,340.351685,-238.403107,344.485382,398.716797,-167.310074,344.538513,436.010925
7,0,92.574341,-282.467468,392.183624,131.470276,-331.000610,385.177216,176.042679,-289.458832,375.010590,134.756241,-245.789780,394.111938,200.521912,-143.202423,346.078156,216.535751,-133.700089,282.277618,213.744003,-52.142216,277.600189,201.929230,-66.378235,339.539215,204.683090,103.523575,358.193085,220.321701,96.082817,299.740875,208.536636,195.404083,303.882965,198.006165,168.894958,364.585144,200.430054,303.673279,374.777313,201.822144,310.118195,324.389191,195.075623,337.036560,329.127686,222.204056,327.264435,364.567780,158.942139,433.595306,390.558411,-124.563316,-295.478668,393.509766,-157.851532,-339.339996,377.521698,-210.614258,-307.276276,367.274994,-170.030029,-256.180756,391.205719,-234.600754,-170.896179,359.704346,-264.165894,-196.807480,310.088928,-266.136414,-120.008263,285.686798,-251.253067,-90.571800,339.091919,-244.815353,74.174744,380.418762,-273.108704,86.659142,330.968018,-261.468872,169.310318,339.663849,-223.014389,155.061569,386.166107,-244.683762,294.057220,388.231079,-246.716583,294.351746,340.009369,-235.639618,321.857300,333.146454,-266.436523,322.740143,361.032379,-215.971481,421.637543,395.067047,-12.692333,-240.866577,354.839813,206.508057,-246.859741,365.633850,210.686768,10.781982,299.810333,130.171677,12.752447,266.439819,188.673721,252.779938,379.070709,204.116074,261.048615,327.297882,195.482483,358.365936,382.435913,138.195618,357.345825,431.602173,-223.959213,-258.090027,372.891602,-260.706177,-6.285518,314.642120,-191.425476,3.849525,269.957397,-240.212830,245.332336,388.442566,-247.309708,243.685638,340.324188,-238.371429,344.524628,398.658691,-167.294495,344.551544,435.959015
8,0,92.342773,-282.603760,391.908264,131.440201,-331.001404,385.179993,176.021790,-289.477692,375.003510,134.753464,-245.789383,394.138123,200.540176,-143.255234,346.075836,216.548157,-133.752808,282.301239,213.772171,-52.149910,277.609253,201.933990,-66.391930,339.551636,204.683334,103.509796,358.209991,220.345154,96.023407,299.807343,208.581909,195.403183,303.972198,198.029282,168.870010,364.664856,200.485001,303.634155,374.894684,201.804031,310.093262,324.478882,195.044632,336.981384,329.132721,222.202286,327.249878,364.659515,158.967285,433.587311,390.684662,-124.563370,-295.476410,393.497833,-157.848465,-339.330383,377.517822,-210.600357,-307.257660,367.275513,-170.035507,-256.175751,391.191101,-234.576950,-170.818542,359.731934,-264.136230,-196.791000,310.072662,-266.079498,-119.997437,285.651154,-251.206161,-90.548027,339.115631,-244.767746,74.199203,380.402100,-273.059448,86.692986,330.940308,-261.445831,169.348862,339.640045,-222.943939,155.087311,386.126587,-244.569244,294.053253,388.111542,-246.714706,294.318329,340.002045,-235.547058,321.897430,333.076233,-266.379852,322.691010,361.001282,-215.860031,421.679810,394.900848,-12.203659,-240.894363,354.709747,206.509583,-246.895477,365.663574,210.691162,10.784904,299.839630,130.263657,12.718536,266.429840,188.671661,252.733475,379.135406,204.127197,261.055847,327.334686,195.531067,358.296875,382.528656,138.220306,357.317261,431.702393,-223.960022,-258.094849,372.820892,-260.497681,-6.277203,314.598358,-191.413406,3.847734,269.940277,-240.134109,245.371506,388.385345,-247.197006,243.680588,340.285065,-238.319168,344.552582,398.571014,-167.258789,344.573486,435.921509
9,0,92.312637,-282.611511,391.898834,131.436615,-331.019226,385.175781,176.016144,-289.532318,375.022919,134.749725,-245.799194,394.124847,200.535965,-143.257843,346.079346,216.532318,-133.717773,282.284393,213.757233,-52.168903,277.657959,201.938660,-66.413841,339.556763,204.697327,103.499977,358.270691,220.365707,96.025444,299.871857,208.619003,195.401688,304.020020,198.018723,168.849426,364.698334,200.508698,303.625610,374.978699,201.895935,310.104797,324.607880,195.064865,336.917969,329.247009,222.204163,327.266937,364.760437,158.963058,433.541901,390.808533,-124.573494,-295.481934,393.497284,-157.859818,-339.329895,377.522217,-210.601608,-307.248627,367.259247,-170.017380,-256.164215,391.166229,-234.574768,-170.806412,359.703644,-264.129974,-196.776215,310.053741,-266.064392,-119.968719,285.636536,-251.184158,-90.527771,339.053467,-244.733032,74.224945,380.352386,-273.020935,86.710793,330.900391,-261.403473,169.372635,339.598511,-222.922073,155.123383,386.099091,-244.498886,294.083984,388.055725,-246.695755,294.303162,339.963318,-235.450241,321.930359,333.015564,-266.345520,322.714996,360.958649,-215.729843,421.668762,394.779480,-12.270184,-240.834518,354.720093,206.527603,-246.914825,365.625549,210.752335,10.752372,299.860931,130.274307,12.729074,266.493103,188.685074,252.701614,379.206360,204.193161,261.041656,327.467743,195.469055,358.265656,382.642029,138.210144,357.260864,431.831207,-223.972183,-258.018005,372.813141,-260.483612,-6.256614,314.559479,-191.378952,3.870741,269.922638,-240.098724,245.409180,388.430542,-247.194077,243.682846,340.227783,-238.214890,344.561340,398.499176,-167.150864,344.578278,435.861389
10,0,92.368080,-282.573395,391.938843,131.458145,-331.065063,385.198059,176.010178,-289.560181,375.003265,134.743469,-245.832047,394.090851,200.527283,-143.272339,346.077728,216.520706,-133.731079,282.293732,213.795425,-52.174503,277.677826,201.971405,-66.449150,339.563141,204.701797,103.454109,358.285889,220.398026,96.018608,299.941254,208.634109,195.346329,304.095093,198.055298,168.820969,364.771057,200.521362,303.594604,375.022491,201.904602,310.037384,324.706116,195.070419,336.932587,329.369110,222.213486,327.211456,364.852264,158.936920,433.495697,390.966278,-124.574966,-295.440369,393.473907,-157.888733,-339.288177,377.508026,-210.603760,-307.240570,367.235870,-170.005020,-256.162720,391.140717,-234.582703,-170.819550,359.626770,-264.150330,-196.737167,310.008698,-266.052032,-119.905251,285.618958,-251.140717,-90.523880,338.975769,-244.704544,74.240959,380.313171,-272.979370,86.714447,330.815521,-261.351196,169.404358,339.576813,-222.870453,155.122391,386.057587,-244.432251,294.113617,388.014526,-246.649277,294.309631,339.953217,-235.332047,321.972748,332.989288,-266.270355,322.751007,360.909943,-215.624741,421.676117,394.787811,-12.287996,-240.826599,354.673462,206.526199,-246.948395,365.635834,210.795013,10.745650,299.870209,130.302017,12.742819,266.502380,188.678192,252.668625,379.301208,204.198303,261.034180,327.563507,195.475281,358.257935,382.740509,138.225967,357.178101,431.929749,-223.938690,-258.037659,372.801025,-260.407928,-6.231875,314.533417,-191.313507,3.888509,269.890411,-239.965195,245.393478,388.311188,-247.156464,243.712051,340.209412,-238.144211,344.598206,398.458801,-167.040222,344.579193,435.814026
11,0,92.398453,-282.576996,391.927155,131.466202,-331.072113,385.191284,176.027359,-289.586060,374.986053,134.770981,-245.825089,394.075348,200.529846,-143.285858,346.079987,216.552460,-133.782196,282.299866,213.775513,-52.185658,277.688416,201.955276,-66.458466,339.577972,204.728119,103.416550,358.342621,220.400528,96.030502,299.963135,208.643341,195.343399,304.143433,198.019974,168.765198,364.817230,200.524521,303.573303,375.077423,201.959915,310.022034,324.807068,195.091690,336.948792,329.569427,222.219452,327.213867,364.938721,158.903442,433.457428,391.087311,-124.590393,-295.439056,393.464813,-157.909882,-339.290405,377.465973,-210.623642,-307.210297,367.185760,-170.013153,-256.147339,391.129547,-234.585815,-170.765121,359.610870,-264.117310,-196.718918,309.971436,-266.031586,-119.882935,285.582886,-251.157639,-90.496162,338.976776,-244.682510,74.239006,380.244171,-272.943634,86.734108,330.758179,-261.314789,169.419006,339.538208,-222.839066,155.137985,386.030548,-244.352493,294.129639,387.984650,-246.568146,294.307556,339.932831,-235.227890,321.986115,332.961395,-266.192871,322.717377,360.877350,-215.549500,421.708160,394.727753,-12.319772,-240.858902,354.641235,206.521317,-246.949966,365.626770,210.792267,10.719677,299.929718,130.285751,12.739429,266.480438,188.700165,252.640518,379.363251,204.239716,260.979156,327.648407,195.519379,358.199432,382.807373,138.222488,357.152466,431.992462,-223.957504,-258.002625,372.788422,-260.421143,-6.225967,314.506409,-191.290314,3.884920,269.887817,-239.951950,245.463837,388.364166,-247.134277,243.729034,340.222961,-238.023254,344.597351,398.430237,-166.954636,344.590942,435.780487
