Trajectories
100
,,ADL007:RSHO1,,,ADL007:RSHO2,,,ADL007:RSHO3,,,ADL007:RSHO4,,,ADL007:RUAR1,,,ADL007:RUAR2,,,ADL007:RUAR3,,,ADL007:RUAR4,,,ADL007:RLAR1,,,ADL007:RLAR2,,,ADL007:RLAR3,,,ADL007:RLAR4,,,ADL007:RHAN1,,,ADL007:RHAN2,,,ADL007:RHAN3,,,ADL007:RHAN4,,,ADL007:RFTP,,,ADL007:LSHO1,,,ADL007:LSHO2,,,ADL007:LSHO3,,,ADL007:LSHO4,,,ADL007:LUAR1,,,ADL007:LUAR2,,,ADL007:LUAR3,,,ADL007:LUAR4,,,ADL007:LLAR1,,,ADL007:LLAR2,,,ADL007:LLAR3,,,ADL007:LLAR4,,,ADL007:LHAN1,,,ADL007:LHAN2,,,ADL007:LHAN3,,,ADL007:LHAN4,,,ADL007:LFTP,,,ADL007:STRN,,,ADL007:RGTH,,,ADL007:RLEP,,,ADL007:RMEP,,,ADL007:RSPR,,,ADL007:RSPU,,,ADL007:RFB,,,ADL007:RTHUM,,,ADL007:LGTH,,,ADL007:LLEP,,,ADL007:LMEP,,,ADL007:LSPR,,,ADL007:LSPU,,,ADL007:LFB,,,ADL007:LTHUM,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,114.833046,-160.983047,343.174622,127.515274,-221.244247,349.372192,181.165665,-210.900284,321.952972,168.162186,-149.283936,329.571503,235.125565,-146.966415,221.696014,244.190994,-209.851013,199.888474,261.919312,-196.203949,119.355209,252.073013,-137.484085,146.616943,209.829071,-57.011810,77.716232,266.025330,-63.360878,55.907307,247.679611,31.701170,31.580284,195.824524,5.480616,65.106461,188.408966,114.193474,59.018394,231.165024,107.265816,44.705040,230.084854,136.028915,37.584435,203.800186,133.109100,73.573196,180.600189,237.743408,20.003128,-123.306656,-151.529892,360.642242,-148.668564,-202.616165,363.501221,-204.439224,-186.016479,339.564026,-173.495499,-123.516373,342.739563,-249.212097,-111.979675,226.995361,-270.672729,-170.769135,238.725021,-279.437225,-171.706360,158.649399,-271.141785,-111.177795,145.067123,-264.672577,-48.872314,92.883171,-299.761841,-48.606865,46.142376,-286.893585,32.999821,30.763344,-242.333130,29.895596,74.065697,-211.440216,139.411438,56.318558,-258.201630,137.956772,47.766109,-263.174622,165.867447,32.778416,-242.340759,167.961273,69.893959,-201.113647,261.119659,22.655725,-10.555869,-114.270531,318.376343,,,,,,,,,,,,,,,,162.150192,164.954559,46.092453,117.977165,174.929230,20.393332,,,,,,,,,,,,,,,,-192.046799,190.783661,46.705360,-134.590546,179.164185,19.480484
2,0,114.913879,-160.933228,343.180634,127.551361,-221.221878,349.353180,181.163498,-210.917313,321.966095,168.172470,-149.277802,329.570404,235.131134,-146.963730,221.708313,244.172150,-209.861099,199.890167,259.686310,-195.035614,121.237915,252.077515,-137.523300,146.591370,209.868713,-56.884838,78.000725,266.044952,-63.386120,55.883545,247.683167,31.664801,31.568172,195.823669,5.506755,65.143677,188.336670,114.178024,59.048466,231.107056,107.352997,44.751778,230.083603,136.010986,37.595383,203.545105,133.147797,73.514465,180.629944,237.787582,20.025129,-123.321289,-151.532959,360.652283,-148.701614,-202.631714,363.517151,-204.444595,-186.032486,339.562897,-173.495270,-123.502380,342.718292,-249.218491,-111.977455,226.993668,-270.676300,-170.785645,238.710846,-279.446472,-171.739365,158.685593,-271.154419,-111.192665,145.071609,-264.670105,-48.881851,92.879524,-299.770325,-48.592052,46.140888,-286.854492,33.011143,30.743364,-242.364471,29.882263,74.097504,-211.443268,139.424332,56.316471,-258.204529,137.969421,47.792976,-263.197327,165.874756,32.790012,-242.332779,167.961945,69.899635,-201.104385,261.096985,22.662292,-10.498040,-114.411011,318.296844,,,,,,,,,,,,,,,,162.151520,164.939667,46.074959,118.003906,174.939072,20.368902,,,,,,,,,,,,,,,,-192.038269,190.791412,46.696236,-134.573959,179.162979,19.467962
3,0,114.922569,-160.943878,343.195496,127.551170,-221.215851,349.340302,181.163834,-210.912399,321.950745,168.171127,-149.285217,329.558594,235.132629,-146.971069,221.720245,244.179443,-209.861557,199.892166,261.878143,-196.242889,119.389709,252.068878,-137.479965,146.647491,209.816956,-56.993626,77.791275,266.046051,-63.408264,55.891586,247.703812,31.615015,31.546682,195.827896,5.475196,65.121414,188.354187,114.193581,59.038063,231.149689,107.313141,44.730671,230.116425,135.974625,37.579052,204.037140,133.061157,73.632492,180.600388,237.762909,19.999931,-123.327812,-151.536987,360.658051,-148.713760,-202.636612,363.529266,-204.455170,-186.030899,339.559662,-173.511963,-123.498459,342.710876,-249.227539,-111.992569,226.986801,-270.677307,-170.754227,238.683243,-279.472687,-171.720947,158.663574,-271.153015,-111.161888,145.064514,-264.680939,-48.858009,92.883987,-299.763245,-48.600674,46.155422,-286.856842,33.010509,30.736536,-242.333359,29.889687,74.074234,-211.441177,139.417023,56.333000,-258.260376,138.067444,47.971317,-263.186890,165.874161,32.789585,-242.324722,167.985016,69.900467,-201.107224,261.104401,22.662930,-10.638590,-116.146523,317.090027,,,,,,,,,,,,,,,,162.163574,164.935120,46.080032,117.979202,174.940445,20.356153,,,,,,,,,,,,,,,,-192.027618,190.796249,46.695847,-134.596756,179.139603,19.504560
4,0,114.824318,-161.013062,343.098022,127.504364,-221.257141,349.372223,181.139862,-210.936615,321.961945,168.157761,-149.292679,329.561005,235.130112,-146.986053,221.705658,244.153839,-209.875702,199.919510,261.880737,-196.223007,119.407875,252.065445,-137.511292,146.622513,209.847000,-57.043674,77.717682,266.037201,-63.385128,55.842468,247.716309,31.588121,31.514011,195.836594,5.471187,65.120712,188.381348,114.165581,59.046928,231.152176,107.281418,44.739182,230.080444,136.002991,37.607944,203.807022,133.101974,73.575546,180.602478,237.783890,20.041258,-123.337204,-151.515121,360.659760,-148.712601,-202.617386,363.530853,-204.461639,-186.011963,339.565948,-173.517303,-123.491264,342.718445,-249.233582,-111.987961,227.006378,-270.692139,-170.771622,238.726898,-279.458527,-171.687729,158.655594,-271.164551,-111.162743,145.086121,-264.686981,-48.858116,92.900414,-299.770966,-48.573830,46.153248,-286.856598,33.051033,30.708914,-242.361053,29.902723,74.082253,-211.436966,139.412521,56.329765,-258.257355,138.096390,48.010784,-263.182312,165.887695,32.789764,-242.327957,167.971375,69.918427,-201.116043,261.112915,22.673164,-10.625963,-116.110939,317.102295,,,,,,,,,,,,,,,,162.155716,164.952072,46.102753,117.981079,174.923050,20.395805,,,,,,,,,,,,,,,,-192.031021,190.808472,46.700256,-134.579910,179.160492,19.479095
5,0,114.824043,-161.032059,343.079681,127.511230,-221.269150,349.357178,181.153122,-210.916977,321.919861,168.160477,-149.302124,329.557434,235.122391,-147.001663,221.709198,244.169800,-209.877197,199.896530,261.896210,-196.220840,119.394623,252.041183,-137.470001,146.567535,209.834305,-56.948349,77.914970,266.040314,-63.360138,55.860893,247.698120,31.642378,31.538759,195.836105,5.490469,65.135246,188.397781,114.165855,59.068752,231.164337,107.311722,44.703918,230.057388,136.084885,37.646412,204.020386,133.074219,73.621643,180.596954,237.764008,19.977385,-123.344193,-151.526886,360.673401,-148.739929,-202.607712,363.538300,-204.487289,-186.021240,339.590881,-173.554840,-123.509598,342.754608,-249.277405,-111.982895,227.001450,-270.705475,-170.726883,238.693527,-279.500549,-171.703934,158.683426,-271.174469,-111.167465,145.074265,-264.694031,-48.838974,92.886742,-299.778198,-48.583538,46.174969,-286.889557,33.016705,30.738590,-242.371063,29.898333,74.100586,-211.447754,139.409744,56.345543,-258.265564,138.078568,47.978264,-263.180420,165.881622,32.802895,-242.331619,167.943848,69.914604,-201.117126,261.113739,22.665112,-10.664702,-113.962608,318.623779,,,,,,,,,,,,,,,,162.140091,164.948685,46.108921,117.975685,174.882950,20.424078,,,,,,,,,,,,,,,,-192.037445,190.800903,46.703262,-134.610916,179.154770,19.498102
6,0,114.832771,-161.048355,343.062286,127.495888,-221.265472,349.352509,181.143875,-210.937256,321.913269,168.141586,-149.314880,329.563965,235.090958,-146.918976,221.747757,244.181213,-209.866318,199.873550,259.720856,-195.074722,121.215279,252.073318,-137.485184,146.613144,209.827209,-57.029404,77.689285,266.051483,-63.378654,55.879375,247.700592,31.638365,31.511030,195.843536,5.483738,65.129646,188.397812,114.174332,59.046104,231.166153,107.279556,44.686760,230.081039,136.021561,37.591717,203.378998,133.161285,73.429596,180.596710,237.797623,19.952391,-123.391800,-151.532288,360.669830,-148.745590,-202.621445,363.536621,-204.498383,-186.028534,339.600983,-173.573944,-123.505699,342.761902,-249.272903,-111.977104,227.004883,-270.727295,-170.745499,238.707047,-279.516235,-171.702774,158.701294,-271.179199,-111.165543,145.073380,-264.692749,-48.821106,92.876923,-299.809875,-48.584984,46.170021,-286.893341,33.027145,30.732391,-242.385727,29.897264,74.118713,-211.437744,139.413116,56.328941,-256.723602,137.455414,48.250908,-263.185730,165.900482,32.796406,-242.326065,167.977402,69.896942,-201.108658,261.110504,22.659851,-10.729374,-116.114296,317.159119,,,,,,,,,,,,,,,,162.148407,164.942093,46.079559,117.980476,174.906326,20.404537,,,,,,,,,,,,,,,,-192.054321,190.779205,46.726856,-134.587921,179.164612,19.471159
7,0,114.839142,-161.011368,343.153625,127.500862,-221.275391,349.347992,181.122467,-210.955658,321.928589,168.138977,-149.339340,329.579742,235.091919,-146.951370,221.742752,244.159348,-209.883377,199.894989,261.881470,-196.234436,119.372093,252.013779,-137.531509,146.611710,209.847290,-57.084839,77.645325,266.047577,-63.317745,55.950771,247.693604,31.669117,31.513092,195.835785,5.489643,65.139717,188.377136,114.155777,59.040848,231.161850,107.250069,44.664867,230.063278,136.018265,37.525021,203.804337,133.108231,73.570656,180.603668,237.758636,19.972475,-123.399551,-151.544693,360.680145,-148.756348,-202.610062,363.534790,-204.503799,-186.020096,339.595032,-173.585007,-123.501930,342.774048,-249.291336,-111.962990,227.002151,-270.733368,-170.731445,238.697464,-279.538330,-171.712814,158.709671,-271.184540,-111.178314,145.100128,-264.675201,-48.858475,92.859001,-299.829773,-48.597656,46.174820,-286.891754,33.015308,30.736565,-242.398453,29.894264,74.114059,-211.437439,139.411667,56.322762,-258.205109,137.929977,47.735703,-263.180908,165.869537,32.793812,-242.329163,167.953781,69.923965,-201.110687,261.116760,22.655605,-10.721105,-116.033188,317.215179,,,,,,,,,,,,,,,,162.164474,164.888565,46.069393,117.978691,174.871506,20.409405,,,,,,,,,,,,,,,,-192.089035,190.749557,46.821396,-134.596634,179.128448,19.483910
8,0,114.842674,-161.021103,343.159973,127.489372,-221.266190,349.359894,181.101517,-210.974152,321.947845,168.118378,-149.347519,329.607452,235.107773,-147.017731,221.708313,244.135742,-209.921188,199.933838,261.897736,-196.187744,119.345779,252.009277,-137.516754,146.654907,209.826157,-57.048420,77.717484,266.037994,-63.352509,55.946255,247.696457,31.650637,31.501860,195.838501,5.483352,65.153801,188.437302,114.173096,59.029335,231.134033,107.316925,44.723228,230.076584,135.942307,37.601032,204.036057,133.041077,73.593369,180.589355,237.774521,19.985956,-123.415291,-151.523895,360.692200,-148.780106,-202.603897,363.549377,-204.542480,-186.012207,339.608582,-173.599747,-123.491188,342.761353,-249.312622,-111.973167,227.013611,-270.767395,-170.749146,238.743561,-279.549011,-171.673981,158.723511,-271.212616,-111.156708,145.098572,-264.728149,-48.826614,92.917236,-299.822388,-48.589375,46.175419,-286.897766,33.029442,30.744797,-242.393036,29.913837,74.128937,-211.436996,139.414078,56.327374,-258.682800,139.210297,50.627991,-263.176941,165.882690,32.808510,-242.339813,167.962326,69.917519,-201.106522,261.110565,22.654102,-10.734582,-116.094460,317.169800,,,,,,,,,,,,,,,,162.165710,164.903244,46.074814,117.961800,174.892639,20.387497,,,,,,,,,,,,,,,,-192.046005,190.778900,46.728413,-134.607819,179.155609,19.470406
9,0,114.843239,-161.052185,343.157928,127.480995,-221.264206,349.359497,181.091995,-210.999649,321.969788,168.115494,-149.376709,329.628937,235.093338,-146.992905,221.748947,244.123169,-209.924911,199.925613,261.879608,-196.207779,119.366844,252.034988,-137.550415,146.637650,209.793701,-57.039780,77.699806,266.013062,-63.311302,55.989223,247.713089,31.611603,31.472418,195.828339,5.499846,65.171967,188.326752,114.192238,59.054783,231.128433,107.362144,44.747738,230.075012,135.934799,37.562412,203.856384,133.096924,73.565590,180.588257,237.761307,19.964254,-123.432968,-151.517242,360.705231,-148.796661,-202.591263,363.560211,-204.569778,-186.028168,339.650635,-173.614822,-123.484154,342.765961,-249.335800,-111.962013,227.011292,-270.805328,-170.758820,238.763092,-279.567230,-171.683395,158.723526,-271.261993,-111.166939,145.122253,-264.750000,-48.828941,92.926643,-299.841370,-48.573776,46.177013,-286.903900,33.014359,30.730343,-242.401230,29.909004,74.148842,-211.434845,139.422226,56.323875,-258.690643,139.230011,50.624928,-263.174438,165.880066,32.802528,-242.340164,167.965652,69.918770,-201.105408,261.109619,22.660067,-10.730775,-116.112854,317.186676,,,,,,,,,,,,,,,,162.161423,164.879166,46.092430,117.962845,174.881638,20.392590,,,,,,,,,,,,,,,,-192.046600,190.774887,46.715443,-134.623489,179.123322,19.508551
