Trajectories
100
,,ADL008:RSHO1,,,ADL008:RSHO2,,,ADL008:RSHO3,,,ADL008:RSHO4,,,ADL008:RUAR1,,,ADL008:RUAR2,,,ADL008:RUAR3,,,ADL008:RUAR4,,,ADL008:RLAR1,,,ADL008:RLAR2,,,ADL008:RLAR3,,,ADL008:RLAR4,,,ADL008:RHAN1,,,ADL008:RHAN2,,,ADL008:RHAN3,,,ADL008:RHAN4,,,ADL008:RFTP,,,ADL008:LSHO1,,,ADL008:LSHO2,,,ADL008:LSHO3,,,ADL008:LSHO4,,,ADL008:LUAR1,,,ADL008:LUAR2,,,ADL008:LUAR3,,,ADL008:LUAR4,,,ADL008:LLAR1,,,ADL008:LLAR2,,,ADL008:LLAR3,,,ADL008:LLAR4,,,ADL008:LHAN1,,,ADL008:LHAN2,,,ADL008:LHAN3,,,ADL008:LHAN4,,,ADL008:LFTP,,,ADL008:STRN,,,ADL008:RGTH,,,ADL008:RLEP,,,ADL008:RMEP,,,ADL008:RSPR,,,ADL008:RSPU,,,ADL008:RFB,,,ADL008:RTHUM,,,ADL008:LGTH,,,ADL008:LLEP,,,ADL008:LMEP,,,ADL008:LSPR,,,ADL008:LSPU,,,ADL008:LFB,,,ADL008:LTHUM,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,101.669090,-150.882004,283.940430,122.877998,-202.452454,310.823303,176.466537,-192.925415,282.113953,153.381546,-136.267197,266.862488,226.624115,-157.023468,160.430313,240.019592,-219.987030,146.895905,258.863831,-215.115005,67.263298,247.047546,-155.331131,85.529182,255.442291,-101.905212,50.014549,276.636566,-113.097313,-5.962000,257.093842,-14.796353,-11.495883,243.820389,-37.004120,50.075912,207.814514,59.836052,53.852085,255.960159,53.552200,40.858547,256.541962,81.969772,30.635944,228.433136,81.680901,67.933586,195.009338,175.917770,19.970751,-97.449074,-161.908508,300.451660,-122.009338,-211.768326,307.885193,-176.902328,-202.572632,280.030212,-147.387146,-138.569290,276.461548,-247.077194,-160.046371,140.355606,-249.949234,-222.705154,152.205734,-268.488434,-224.743820,74.015572,-279.020386,-163.881332,62.100903,-281.879242,-110.877563,42.067856,-285.862610,-100.589821,-15.307030,-265.775574,-19.568802,-7.515480,-251.742310,-32.934261,51.576698,-204.408401,59.298134,52.435600,-251.051987,54.670868,46.444954,-258.089600,81.294792,29.993143,-236.971451,86.137238,65.538322,-197.579376,168.514618,20.530735,-0.260002,-105.213943,239.735901,,,,,,,,,,,,,,,,195.928009,118.736946,39.906971,148.163101,106.852692,19.539955,,,,,,,,,,,,,,,,-203.265366,106.006012,39.633076,-137.737747,95.166939,18.773006
2,0,101.645546,-150.888992,283.940796,122.883377,-202.443893,310.812958,176.446930,-192.885666,282.123810,153.363953,-136.275986,266.876862,226.614960,-157.010239,160.433197,239.987793,-219.990326,146.897949,258.876160,-215.100143,67.277748,247.008926,-155.298782,85.548935,255.441010,-101.908012,50.013477,276.619568,-113.103310,-5.948748,257.072021,-14.800056,-11.503543,243.815216,-37.002613,50.082687,207.790115,59.835632,53.856133,255.944336,53.609470,40.860596,256.538300,81.964249,30.634821,228.451019,81.671021,67.933090,195.005615,175.912888,19.993912,-97.463242,-161.910385,300.476990,-122.024170,-211.779724,307.896179,-176.877869,-202.602798,280.041565,-147.388855,-138.569992,276.478607,-247.086655,-160.050995,140.374680,-249.939728,-222.694077,152.214966,-268.514130,-224.759460,74.051003,-279.001862,-163.929123,62.093971,-281.885529,-110.879547,42.065865,-285.886108,-100.617104,-15.309519,-265.781708,-19.587229,-7.551280,-251.742508,-32.938385,51.573067,-204.406113,59.295715,52.431137,-251.065201,54.678680,46.440601,-258.094604,81.303894,29.974871,-236.976349,86.136551,65.541878,-197.563934,168.501022,20.525005,-0.250005,-105.224442,239.737900,,,,,,,,,,,,,,,,195.913635,118.736519,39.905979,148.154388,106.845825,19.533949,,,,,,,,,,,,,,,,-203.286423,106.007545,39.624149,-137.746674,95.144234,18.767853
3,0,101.652313,-150.897797,283.949249,122.893349,-202.392319,310.833130,176.452271,-192.886520,282.123383,153.376465,-136.194748,266.895294,226.608582,-157.003021,160.430481,240.013718,-219.965240,146.930847,258.882233,-215.101852,67.298004,247.094238,-155.247986,85.606834,255.439285,-101.913597,50.013298,276.625946,-113.094719,-5.958486,257.093170,-14.795782,-11.496567,243.822266,-37.003311,50.096096,207.800079,59.830601,53.850861,255.969757,53.623165,40.869228,256.517639,81.967453,30.641897,228.450760,81.685051,67.931686,195.008453,175.916138,19.984526,-97.443207,-161.912567,300.468781,-122.008408,-211.782959,307.896454,-176.875305,-202.614777,280.045746,-147.389328,-138.573349,276.482971,-247.081146,-160.048874,140.375092,-249.933289,-222.703918,152.216064,-268.515656,-224.773727,74.053329,-279.020081,-163.935349,62.111351,-281.876251,-110.880615,42.072506,-285.865143,-100.622513,-15.304962,-265.774750,-19.579144,-7.505424,-251.742538,-32.939678,51.584171,-204.432343,59.288544,52.445503,-251.064835,54.668930,46.439728,-258.088226,81.294281,29.973305,-237.004333,86.126175,65.575066,-197.580704,168.507568,20.531483,-0.261516,-105.228859,239.728271,,,,,,,,,,,,,,,,195.924896,118.739777,39.890942,148.159134,106.828217,19.536522,,,,,,,,,,,,,,,,-203.291565,106.003487,39.629410,-137.751175,95.174477,18.766924
4,0,101.652061,-150.890228,283.960968,122.898346,-202.400436,310.834747,176.444656,-192.892593,282.129303,153.371735,-136.199112,266.889252,226.633072,-156.971207,160.435379,240.011230,-219.969116,146.892258,258.917206,-215.032074,67.292892,247.028946,-155.293503,85.554657,255.450455,-101.918739,50.010723,276.643860,-113.096077,-5.962512,257.102661,-14.793187,-11.487761,243.836731,-37.004864,50.093555,207.805588,59.830074,53.839901,255.936569,53.599674,40.865803,256.545807,81.957939,30.644014,228.466934,81.680733,67.934792,194.997162,175.912704,19.975632,-97.452164,-161.919022,300.484100,-122.013130,-211.794601,307.899200,-176.875122,-202.631271,280.047760,-147.391235,-138.586990,276.491913,-247.062302,-160.044891,140.373154,-249.960251,-222.704208,152.230011,-268.496063,-224.762756,74.039970,-279.018372,-163.935928,62.107975,-281.878204,-110.886581,42.071106,-285.868530,-100.626297,-15.315725,-265.783173,-19.582479,-7.495235,-251.750854,-32.945911,51.605534,-204.404312,59.292664,52.445827,-251.071838,54.662312,46.444118,-258.096405,81.297409,29.977524,-236.974319,86.132263,65.537895,-197.580399,168.498672,20.538366,-0.263408,-105.225449,239.723831,,,,,,,,,,,,,,,,195.924713,118.723938,39.898743,148.132919,106.855164,19.555443,,,,,,,,,,,,,,,,-203.286530,106.001427,39.619133,-137.748184,95.169250,18.772264
5,0,101.673882,-150.888763,283.956299,122.924179,-202.448898,310.843201,176.478378,-192.933899,282.117004,153.372818,-136.217117,266.898529,226.633224,-156.986908,160.433990,240.073151,-219.970383,146.959412,258.921814,-215.015015,67.278069,247.044098,-155.282639,85.560196,255.461990,-101.907364,50.013710,276.663452,-113.102928,-5.966603,257.074646,-14.802058,-11.504417,243.846848,-37.010239,50.078995,207.802628,59.831844,53.847549,255.968964,53.613487,40.873779,256.516174,81.951897,30.622698,228.440903,81.681992,67.924232,194.997238,175.911926,19.984673,-97.420753,-161.976120,300.469055,-122.001831,-211.795059,307.909180,-176.871628,-202.639862,280.051117,-147.390182,-138.581924,276.500763,-247.061737,-160.049973,140.388275,-249.937149,-222.700012,152.222427,-268.505646,-224.762955,74.047165,-278.991974,-163.934357,62.097710,-281.866882,-110.878891,42.078148,-285.886230,-100.622902,-15.305369,-265.788818,-19.601366,-7.547386,-251.749939,-32.940861,51.578712,-204.406036,59.304935,52.453720,-251.061981,54.674973,46.442066,-258.089783,81.293823,29.964998,-236.984695,86.141518,65.532684,-197.553497,168.474014,20.522705,-0.243538,-105.253059,239.706238,,,,,,,,,,,,,,,,195.925247,118.732826,39.873318,148.128006,106.861908,19.575047,,,,,,,,,,,,,,,,-203.296234,106.003304,39.619675,-137.736435,95.155983,18.764307
6,0,101.670090,-150.892075,283.946716,122.944267,-202.460724,310.832336,176.495010,-192.917801,282.102264,153.420853,-136.272842,266.881897,226.655685,-156.998474,160.426483,240.101303,-219.937790,146.890274,258.990784,-215.059280,67.275803,247.097061,-155.236328,85.606377,255.474533,-101.914604,50.016773,276.694366,-113.074684,-5.954182,257.112946,-14.791570,-11.483082,243.845764,-37.008484,50.081314,207.831818,59.819473,53.828678,255.969940,53.602749,40.878605,256.543976,81.949028,30.638638,228.425262,81.699898,67.919670,194.997360,175.911499,19.984413,-97.416588,-161.983261,300.469543,-121.991470,-211.841354,307.904297,-176.869736,-202.642944,280.063141,-147.376266,-138.601120,276.505402,-247.056122,-160.063004,140.388275,-249.932556,-222.696762,152.225830,-268.500763,-224.764130,74.053795,-278.986542,-163.937469,62.114056,-281.863556,-110.882851,42.083275,-285.863403,-100.608566,-15.278212,-265.785889,-19.605457,-7.538427,-251.739624,-32.934631,51.577610,-204.407791,59.293728,52.445133,-251.077927,54.664124,46.461254,-258.084656,81.307312,29.972651,-236.862762,86.198372,65.352272,-197.583069,168.500214,20.525341,-0.252225,-105.228386,239.715271,,,,,,,,,,,,,,,,195.938751,118.707413,39.868057,148.167130,106.843758,19.532587,,,,,,,,,,,,,,,,-203.293320,106.019165,39.628090,-137.741440,95.183586,18.766754
7,0,101.685944,-150.975296,283.911102,122.953003,-202.483841,310.820801,176.490128,-192.927933,282.097992,153.427841,-136.270187,266.877014,226.632553,-156.984314,160.433365,240.050293,-219.930161,146.824554,258.996613,-215.056519,67.266052,247.056580,-155.281296,85.546364,255.496857,-101.929123,49.985996,276.701385,-113.071007,-5.943465,257.134460,-14.793129,-11.474023,243.843887,-37.016022,50.093727,207.815033,59.824432,53.827366,255.998260,53.624184,40.890060,256.538177,81.942467,30.623606,228.449280,81.667946,67.937065,194.995392,175.912888,19.975800,-97.411064,-161.984711,300.464050,-121.979103,-211.838806,307.908783,-176.835907,-202.684082,280.048523,-147.358078,-138.635117,276.494843,-247.056686,-160.060837,140.395554,-249.946213,-222.697937,152.228104,-268.475891,-224.758926,74.026367,-278.975372,-163.939224,62.094711,-281.876099,-110.881645,42.080135,-285.872528,-100.606148,-15.273602,-265.771942,-19.582499,-7.497739,-251.734756,-32.933949,51.599289,-204.412796,59.290195,52.443779,-251.060211,54.669079,46.452808,-258.082581,81.301552,29.963295,-236.876251,86.192200,65.365120,-197.576859,168.503906,20.521952,-0.242240,-105.268288,239.688278,,,,,,,,,,,,,,,,195.950073,118.708488,39.858280,148.156418,106.856201,19.525463,,,,,,,,,,,,,,,,-203.283234,106.016083,39.614380,-137.708954,95.158653,18.754084
8,0,101.692329,-150.975403,283.908112,122.978050,-202.474274,310.825409,176.494812,-192.937225,282.098511,153.405594,-136.271606,266.866974,226.655487,-156.996841,160.422958,240.105560,-219.950562,146.873016,259.011444,-215.069092,67.264992,247.123840,-155.242599,85.569481,255.489258,-101.903961,50.002747,276.720917,-113.067795,-5.958029,257.089935,-14.772573,-11.556379,243.859787,-37.022049,50.088310,207.844696,59.807793,53.804218,255.998489,53.561592,40.891834,256.542236,81.931175,30.591982,228.440079,81.654327,67.931679,194.991302,175.903122,19.969244,-97.416321,-161.987915,300.480804,-121.964729,-211.840897,307.886230,-176.846756,-202.687927,280.053009,-147.353928,-138.642105,276.488129,-247.047318,-160.073624,140.402634,-249.943573,-222.692551,152.236969,-268.482147,-224.761505,74.037674,-278.963654,-163.924362,62.097023,-281.858276,-110.871696,42.071720,-285.865295,-100.599655,-15.274909,-265.768097,-19.580708,-7.505296,-251.726273,-32.934872,51.586067,-204.419312,59.304230,52.462643,-251.045822,54.677376,46.431767,-258.088684,81.302452,29.971342,-236.978806,86.133301,65.549187,-197.576157,168.509720,20.520027,-0.229653,-105.265686,239.678635,,,,,,,,,,,,,,,,195.986023,118.678391,39.833027,148.155136,106.865463,19.518547,,,,,,,,,,,,,,,,-203.293839,106.031479,39.622822,-137.736359,95.201569,18.754290
9,0,101.703476,-150.985123,283.882416,122.978577,-202.494324,310.791748,176.535187,-192.998154,282.057251,153.437393,-136.280182,266.829224,226.664352,-157.004364,160.398361,240.086853,-219.954727,146.840851,259.025543,-215.066635,67.243164,247.103119,-155.307648,85.507591,255.510178,-101.930458,49.989239,276.706055,-113.077843,-5.969432,257.124268,-14.773719,-11.554587,243.869797,-37.023113,50.089035,207.853775,59.811256,53.814754,255.999741,53.611340,40.904293,256.562622,81.936798,30.612865,228.459457,81.667274,67.926109,195.005814,175.918961,19.980865,-97.414200,-161.985886,300.475983,-121.966232,-211.842651,307.897461,-176.824158,-202.684525,280.034088,-147.332809,-138.639359,276.484924,-247.052750,-160.080917,140.415634,-249.929459,-222.696198,152.225479,-268.491638,-224.748734,74.051933,-278.953217,-163.919601,62.103565,-281.856781,-110.869904,42.078667,-285.851898,-100.584251,-15.277743,-265.774933,-19.586926,-7.497707,-251.728363,-32.928761,51.579346,-204.411560,59.300026,52.460060,-251.045975,54.671482,46.440220,-258.083405,81.312439,29.972805,-236.900116,86.189049,65.412994,-197.546097,168.493118,20.506271,-0.220803,-105.258469,239.672775,,,,,,,,,,,,,,,,196.001038,118.669121,39.815624,148.161270,106.868263,19.529778,,,,,,,,,,,,,,,,-203.283432,106.033218,39.626801,-137.724243,95.210312,18.748333
