Trajectories
100
,,ADL009:RSHO1,,,ADL009:RSHO2,,,ADL009:RSHO3,,,ADL009:RSHO4,,,ADL009:RUAR1,,,ADL009:RUAR2,,,ADL009:RUAR3,,,ADL009:RUAR4,,,ADL009:RLAR1,,,ADL009:RLAR2,,,ADL009:RLAR3,,,ADL009:RLAR4,,,ADL009:RHAN1,,,ADL009:RHAN2,,,ADL009:RHAN3,,,ADL009:RHAN4,,,ADL009:RFTP,,,ADL009:LSHO1,,,ADL009:LSHO2,,,ADL009:LSHO3,,,ADL009:LSHO4,,,ADL009:LUAR1,,,ADL009:LUAR2,,,ADL009:LUAR3,,,ADL009:LUAR4,,,ADL009:LLAR1,,,ADL009:LLAR2,,,ADL009:LLAR3,,,ADL009:LLAR4,,,ADL009:LHAN1,,,ADL009:LHAN2,,,ADL009:LHAN3,,,ADL009:LHAN4,,,ADL009:LFTP,,,ADL009:STRN,,,ADL009:RGTH,,,ADL009:RLEP,,,ADL009:RMEP,,,ADL009:RSPR,,,ADL009:RSPU,,,ADL009:RFB,,,ADL009:RTHUM,,,ADL009:LGTH,,,ADL009:LLEP,,,ADL009:LMEP,,,ADL009:LSPR,,,ADL009:LSPU,,,ADL009:LFB,,,ADL009:LTHUM,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-151.617279,673.804260,333.581848,-159.955505,729.577820,358.276276,-216.037140,730.705811,332.852356,-206.199478,669.521606,320.063568,-275.631958,717.168091,222.068161,-256.418243,774.669922,195.136230,-272.784332,760.719299,116.166367,-291.126038,707.408203,146.955917,-251.831055,622.196472,74.604027,-301.310333,631.488892,40.202286,-279.228271,536.383667,17.290983,-236.172699,559.053833,63.420139,-219.617447,449.595184,59.275925,-266.776978,465.836212,43.733467,-270.288055,439.833130,34.384445,-245.726547,432.829742,72.140144,-222.367310,332.493042,23.114130,68.688484,682.435852,350.499542,89.982224,733.664734,364.112610,146.879578,729.095825,337.761383,120.542038,663.882690,327.168365,176.953629,667.105713,219.211914,199.929947,722.964844,239.954697,202.235672,738.237610,160.839752,192.868210,680.555969,137.147263,175.458847,648.175659,79.835678,215.862732,640.000122,38.349552,194.680893,559.881775,26.656778,145.267273,571.654907,62.596916,133.614426,452.481262,53.152061,176.474060,471.405884,42.743729,190.073395,447.889923,25.285835,174.958664,436.800873,62.880760,151.967743,342.574463,19.912592,-37.274246,631.566345,290.409729,,,,,,,,,,,,,,,,-218.367249,400.789124,47.869930,-166.548309,388.820557,20.918549,,,,,,,,,,,,,,,,136.614288,407.632202,41.101948,87.321815,390.068848,19.337797
2,0,-151.622711,673.811218,333.590454,-159.947205,729.586731,358.269409,-216.029480,730.707031,332.830231,-206.190384,669.526428,320.057556,-275.659088,717.178650,222.066666,-256.423309,774.700195,195.147491,-272.805481,760.725525,116.156364,-291.125854,707.391357,146.936966,-251.830246,622.212341,74.609436,-301.302246,631.507263,40.178925,-279.243744,536.379333,17.275116,-236.166122,559.046753,63.435486,-219.679062,449.624512,59.241570,-266.798096,465.834503,43.715008,-270.285858,439.821869,34.368191,-245.742477,432.818176,72.134689,-222.390671,332.483215,23.110525,68.661339,682.418152,350.490387,89.967010,733.648376,364.130219,146.864426,729.104919,337.753571,120.550117,663.887146,327.180023,176.953369,667.111816,219.216782,199.929657,722.980896,239.962067,202.235672,738.250488,160.844757,192.862259,680.561401,137.146378,175.460480,648.182129,79.830650,215.858627,640.010315,38.347176,194.679886,559.899414,26.640448,145.271713,571.632263,62.610859,133.622803,452.474670,53.142796,176.490463,471.413361,42.739475,190.084641,447.884827,25.287083,174.968719,436.805298,62.886036,151.993896,342.561157,19.922993,-37.253193,631.516907,290.393311,,,,,,,,,,,,,,,,-218.373260,400.811951,47.860058,-166.542572,388.823364,20.938005,,,,,,,,,,,,,,,,136.665344,407.657043,41.118267,87.311913,390.062256,19.334290
3,0,-151.622955,673.807251,333.573334,-159.934647,729.552612,358.256622,-216.027252,730.711731,332.838806,-206.187729,669.515503,320.032776,-275.675720,717.168762,222.055878,-256.440765,774.657288,195.128189,-272.800354,760.721497,116.154785,-291.133057,707.393738,146.920013,-251.840240,622.210388,74.598183,-301.324402,631.494141,40.165634,-279.270233,536.389038,17.292315,-236.193024,559.089600,63.416660,-219.662491,449.626099,59.245724,-266.798187,465.845093,43.717827,-270.307068,439.820770,34.376396,-245.713882,432.815918,72.151154,-222.395477,332.493134,23.108452,68.674461,682.416382,350.475189,89.986290,733.651306,364.110901,146.874435,729.099915,337.759033,120.575127,663.899597,327.178436,176.945663,667.121277,219.219437,199.884064,723.015198,239.944702,202.220947,738.264954,160.788177,192.875122,680.571533,137.152039,175.452209,648.180420,79.819199,215.858749,640.002441,38.340820,194.656052,559.929810,26.617653,145.277649,571.640869,62.615170,133.630341,452.476990,53.148514,176.472595,471.412201,42.740456,190.095932,447.905090,25.272093,174.977951,436.794617,62.882343,151.964493,342.575195,19.908037,-37.241642,631.509094,290.372894,,,,,,,,,,,,,,,,-218.365112,400.774780,47.870892,-166.546478,388.801697,20.930838,,,,,,,,,,,,,,,,136.679489,407.640900,41.112461,87.311287,390.057983,19.326328
4,0,-151.631485,673.802368,333.583649,-159.943039,729.544312,358.270905,-216.026855,730.702942,332.841614,-206.211151,669.518250,320.048798,-275.684998,717.193665,222.048126,-256.474152,774.723145,195.148056,-272.795929,760.711243,116.168671,-291.135925,707.374268,146.930923,-251.863037,622.198059,74.597878,-301.311035,631.481018,40.173512,-279.249207,536.399536,17.335531,-236.173706,559.096680,63.427879,-219.643402,449.614807,59.276691,-266.786316,465.845093,43.718159,-270.277557,439.841888,34.353416,-245.759277,432.847137,72.093246,-222.422455,332.494812,23.121355,68.685471,682.420105,350.474792,89.996231,733.634827,364.146027,146.894882,729.108643,337.768127,120.589355,663.903015,327.178467,176.903915,667.145447,219.229813,199.873032,723.017090,239.957581,202.179199,738.289917,160.786911,192.858627,680.574646,137.152191,175.464417,648.182739,79.814690,215.858170,640.003540,38.347092,194.634018,559.920471,26.628759,145.273575,571.670776,62.574760,133.621414,452.495819,53.137955,176.486328,471.422668,42.700546,190.103867,447.896545,25.285212,174.985352,436.807556,62.881783,151.976517,342.579102,19.906530,-37.233509,631.488159,290.363007,,,,,,,,,,,,,,,,-218.362015,400.823090,47.855305,-166.553650,388.834137,20.926071,,,,,,,,,,,,,,,,136.674362,407.654877,41.089077,87.312515,390.063416,19.329630
5,0,-151.623947,673.720093,333.594238,-159.948822,729.533264,358.280243,-216.027542,730.663879,332.842773,-206.207870,669.498779,320.040466,-275.669403,717.209351,222.059906,-256.474731,774.718567,195.143982,-272.810547,760.701843,116.172958,-291.157166,707.350403,146.919739,-251.858597,622.211548,74.593903,-301.318176,631.501648,40.166706,-279.245605,536.385864,17.311623,-236.208206,559.084961,63.418591,-219.612625,449.598083,59.269848,-266.782593,465.851654,43.722130,-270.297363,439.841492,34.360649,-245.744858,432.822388,72.105576,-222.426788,332.487030,23.115059,68.699753,682.424561,350.473541,89.988403,733.639465,364.152832,146.904953,729.113831,337.786438,120.591682,663.906128,327.169098,176.890503,667.160828,219.247925,199.823761,723.052612,239.960052,202.202103,738.292725,160.849091,192.846527,680.624329,137.149582,175.438019,648.176208,79.812592,215.865921,639.998535,38.372513,194.636795,559.928406,26.632359,145.272400,571.651489,62.617458,133.610092,452.492920,53.136410,176.489029,471.414429,42.762444,190.094910,447.889343,25.320553,174.969559,436.800079,62.897785,152.013962,342.571869,19.926819,-37.216434,631.495789,290.351410,,,,,,,,,,,,,,,,-218.369553,400.818756,47.857616,-166.529800,388.823517,20.918356,,,,,,,,,,,,,,,,136.643997,407.651428,41.102402,87.336159,390.055725,19.327991
6,0,-151.626572,673.721436,333.593506,-159.949188,729.529175,358.284332,-216.009399,730.622925,332.836761,-206.216888,669.489685,320.042236,-275.661102,717.195251,222.061539,-256.449280,774.743896,195.100220,-272.813141,760.702698,116.162750,-291.150452,707.366516,146.918396,-251.851028,622.199463,74.612572,-301.335327,631.479187,40.184196,-279.247040,536.401794,17.307911,-236.207245,559.089111,63.401653,-219.673157,449.634399,59.217999,-266.769135,465.838226,43.716125,-270.297302,439.834198,34.358086,-245.697433,432.780579,72.151138,-222.437241,332.486603,23.103609,68.709686,682.429810,350.481964,89.995399,733.642761,364.152069,146.905960,729.121704,337.777008,120.619118,663.904907,327.174744,176.901169,667.175964,219.258743,199.806854,723.061218,239.971802,202.199341,738.289673,160.853714,192.844116,680.630981,137.161163,175.443481,648.167480,79.833939,215.828476,640.038513,38.350208,194.614716,559.933777,26.626638,145.256973,571.659058,62.605194,133.605530,452.493378,53.141636,176.495163,471.421112,42.760372,190.097717,447.886780,25.333521,174.962067,436.805206,62.894127,151.974609,342.581512,19.926807,-37.226650,631.499023,290.321838,,,,,,,,,,,,,,,,-218.363983,400.823059,47.858067,-166.506073,388.843384,20.926592,,,,,,,,,,,,,,,,136.632782,407.641754,41.095165,87.313171,390.099365,19.317265
7,0,-151.631912,673.705566,333.584686,-159.929764,729.476013,358.287354,-216.053680,730.589661,332.864807,-206.200333,669.432617,320.040863,-275.626495,717.153809,222.063202,-256.446350,774.663269,195.127960,-272.838165,760.695129,116.159637,-291.158356,707.353577,146.924683,-251.840942,622.203979,74.597122,-301.324921,631.492310,40.190800,-279.237396,536.389343,17.292513,-236.183060,559.061218,63.404358,-219.632599,449.623535,59.247368,-266.788879,465.872131,43.711273,-270.299561,439.836060,34.378746,-245.731949,432.844299,72.134109,-222.446304,332.496307,23.110888,68.759483,682.388855,350.510895,89.977547,733.647217,364.141724,146.905746,729.133362,337.774475,120.610237,663.913635,327.163025,176.855972,667.220886,219.239532,199.824722,723.085693,239.960114,202.146622,738.367065,160.788879,192.855713,680.647095,137.153366,175.415680,648.208984,79.811882,215.862717,640.008240,38.362408,194.641434,559.941650,26.633261,145.255814,571.655823,62.593796,133.613068,452.487091,53.138851,176.482147,471.422150,42.759453,190.081818,447.876007,25.319401,174.955261,436.799988,62.891350,152.002869,342.575500,19.936901,-37.216831,631.485840,290.304840,,,,,,,,,,,,,,,,-218.373627,400.822754,47.818531,-166.536224,388.829895,20.890247,,,,,,,,,,,,,,,,136.683228,407.657257,41.093533,87.336456,390.070221,19.321941
8,0,-151.601089,673.629822,333.584930,-159.938461,729.472473,358.291534,-216.032516,730.561829,332.873932,-206.187866,669.412659,320.030243,-275.632843,717.154480,222.081955,-256.438629,774.666870,195.138702,-272.832001,760.680969,116.176804,-291.128357,707.326233,146.962479,-251.824234,622.198242,74.601349,-301.300262,631.486755,40.194450,-279.245941,536.381104,17.295435,-236.174728,559.052673,63.408665,-219.628235,449.631989,59.216702,-266.772827,465.856598,43.725193,-270.293549,439.840485,34.390095,-245.746735,432.860565,72.099197,-222.447250,332.480255,23.120996,68.762627,682.397034,350.498230,89.992195,733.651855,364.145538,146.909180,729.150024,337.773560,120.613701,663.924988,327.166870,176.887894,667.233459,219.236176,199.832291,723.100037,239.949158,202.158554,738.394043,160.791718,192.870911,680.667908,137.162262,175.427277,648.209351,79.792465,215.823090,640.049133,38.331387,194.632523,559.944946,26.615091,145.269592,571.655640,62.592617,133.625748,452.496796,53.137100,176.493759,471.418732,42.758080,190.102386,447.888519,25.308918,174.984482,436.810547,62.901028,151.988586,342.598480,19.920666,-37.200363,631.507324,290.279999,,,,,,,,,,,,,,,,-218.372971,400.819641,47.825661,-166.524612,388.840302,20.898439,,,,,,,,,,,,,,,,136.692322,407.660919,41.084042,87.328651,390.064575,19.318575
9,0,-151.592087,673.645996,333.589752,-159.942001,729.465332,358.293152,-216.030807,730.557068,332.878174,-206.187576,669.397705,320.050110,-275.600891,717.155579,222.115158,-256.425110,774.665466,195.142532,-272.839386,760.650024,116.220840,-291.114349,707.294250,146.970459,-251.853104,622.181702,74.623367,-301.321045,631.486084,40.220230,-279.244781,536.392090,17.299286,-236.164261,559.039124,63.417763,-219.631180,449.633667,59.209118,-266.763855,465.861237,43.720592,-270.269836,439.854431,34.366661,-245.750427,432.854919,72.106873,-222.446762,332.483276,23.111256,68.723541,682.434814,350.473114,90.002922,733.663513,364.121887,146.906006,729.161194,337.774841,120.640579,663.936157,327.169220,176.951981,667.224365,219.213806,199.861511,723.118042,239.942154,202.171417,738.390076,160.782272,192.891052,680.692444,137.124023,175.453171,648.163208,79.808990,215.830002,640.040894,38.314262,194.647141,559.943115,26.615847,145.278839,571.663879,62.579727,133.630066,452.505219,53.148514,176.501434,471.425537,42.713120,190.114532,447.885620,25.306131,174.989548,436.808167,62.866272,151.996429,342.600800,19.918327,-37.174458,631.495056,290.277069,,,,,,,,,,,,,,,,-218.363831,400.823944,47.806835,-166.506989,388.824738,20.910019,,,,,,,,,,,,,,,,136.726410,407.659485,41.096344,87.324509,390.069458,19.314806
