Trajectories
100
,,ADL012:RSHO1,,,ADL012:RSHO2,,,ADL012:RSHO3,,,ADL012:RSHO4,,,ADL012:RUAR1,,,ADL012:RUAR2,,,ADL012:RUAR3,,,ADL012:RUAR4,,,ADL012:RLAR1,,,ADL012:RLAR2,,,ADL012:RLAR3,,,ADL012:RLAR4,,,ADL012:RHAN1,,,ADL012:RHAN2,,,ADL012:RHAN3,,,ADL012:RHAN4,,,ADL012:RFTP,,,ADL012:LSHO1,,,ADL012:LSHO2,,,ADL012:LSHO3,,,ADL012:LSHO4,,,ADL012:LUAR1,,,ADL012:LUAR2,,,ADL012:LUAR3,,,ADL012:LUAR4,,,ADL012:LLAR1,,,ADL012:LLAR2,,,ADL012:LLAR3,,,ADL012:LLAR4,,,ADL012:LHAN1,,,ADL012:LHAN2,,,ADL012:LHAN3,,,ADL012:LHAN4,,,ADL012:LFTP,,,ADL012:STRN,,,ADL012:RGTH,,,ADL012:RLEP,,,ADL012:RMEP,,,ADL012:RSPR,,,ADL012:RSPU,,,ADL012:RFB,,,ADL012:RTHUM,,,ADL012:LGTH,,,ADL012:LLEP,,,ADL012:LMEP,,,ADL012:LSPR,,,ADL012:LSPU,,,ADL012:LFB,,,ADL012:LTHUM,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,97.987595,-87.701141,341.741882,112.749947,-146.279190,354.560303,166.926437,-137.099808,327.080414,151.117798,-75.300430,327.078888,225.292740,-134.102890,217.963455,198.993454,-192.782440,202.210388,216.941879,-196.596146,122.445442,241.969025,-141.127274,142.581680,220.298706,-66.522186,77.111305,253.333420,-80.170799,27.349119,230.832077,15.658162,10.219619,205.540695,-2.715781,68.921013,175.591141,103.600471,55.460392,224.933578,99.845238,40.609745,223.699615,124.084053,32.656342,196.868393,126.026955,69.828041,165.560364,222.081589,21.789272,-132.362198,-102.205269,357.886932,-156.143585,-154.090851,355.278564,-211.565384,-138.848007,330.226990,-183.076859,-75.030258,339.688110,-249.701828,-83.123734,215.134995,-264.142639,-141.855682,234.576157,-262.965332,-156.113007,155.583145,-260.738708,-97.366180,132.537399,-253.693726,-67.755272,75.854584,-275.336182,-64.428642,21.387239,-259.258362,17.551693,14.927092,-226.671097,11.636317,67.242294,-191.136978,125.483932,53.584087,-237.978729,116.511246,49.559029,-247.975876,140.081482,31.631165,-226.307053,151.171463,66.006378,-190.059860,240.548187,20.535000,-27.761028,-43.314491,300.413971,,,,,,,,,,,,,,,,167.387329,152.068436,46.614330,114.550308,163.788376,16.511154,,,,,,,,,,,,,,,,-188.499374,169.148621,39.607964,-144.495407,182.328201,17.545773
2,0,97.982559,-87.714897,341.727570,112.765640,-146.270493,354.566772,166.927460,-137.118164,327.085144,151.153519,-75.351273,327.086945,225.294678,-134.107498,217.956482,198.985672,-192.839005,202.195129,216.932953,-196.597275,122.438255,242.002151,-141.178909,142.594025,220.308685,-66.527534,77.123283,253.348434,-80.179916,27.368015,230.825943,15.661734,10.196390,205.544403,-2.722014,68.940666,175.586136,103.607224,55.474918,224.910629,99.871361,40.626320,223.713593,124.072929,32.664482,196.872849,126.012894,69.821838,165.556030,222.081940,21.794065,-132.369476,-102.204414,357.892151,-156.140320,-154.094238,355.291779,-211.553894,-138.891815,330.235352,-183.067963,-75.083801,339.676880,-249.668640,-83.110596,215.168686,-264.131836,-141.840530,234.601486,-262.975372,-156.097733,155.597107,-260.742615,-97.377808,132.554642,-253.695496,-67.754448,75.863197,-275.336304,-64.439560,21.389086,-259.265778,17.554079,14.940380,-226.668976,11.675061,67.239540,-191.140656,125.461472,53.586857,-237.961243,116.502808,49.557686,-247.979385,140.066422,31.635061,-226.286530,151.174866,66.000801,-190.084579,240.563721,20.529848,-27.748514,-43.385628,300.397247,,,,,,,,,,,,,,,,167.346069,152.099884,46.626881,114.560158,163.799240,16.519905,,,,,,,,,,,,,,,,-188.469299,169.140305,39.568386,-144.513123,182.339233,17.519360
3,0,97.998779,-87.722176,341.736633,112.772652,-146.340500,354.547150,166.947540,-137.139099,327.080109,151.147903,-75.362976,327.070648,225.313293,-134.181030,217.947159,198.999756,-192.870544,202.191040,216.957840,-196.591003,122.436600,241.990326,-141.201187,142.572510,220.317276,-66.541855,77.111694,253.335541,-80.188705,27.348291,230.827301,15.656287,10.197669,205.556549,-2.726319,68.934341,175.621338,103.583412,55.476761,224.931244,99.881973,40.664509,223.740585,124.074348,32.680511,196.880844,125.991402,69.836311,165.555145,222.081894,21.799969,-132.345856,-102.256271,357.893860,-156.154953,-154.106583,355.322083,-211.537201,-138.887344,330.263916,-183.041107,-75.072800,339.689270,-249.680145,-83.113472,215.187927,-264.143005,-141.843460,234.642227,-262.989105,-156.115021,155.594452,-260.744202,-97.370468,132.567429,-253.712021,-67.766220,75.867867,-275.331390,-64.429268,21.402336,-259.261841,17.538074,14.916460,-226.673584,11.676277,67.239326,-191.143356,125.473557,53.597618,-237.950043,116.505417,49.544136,-247.980240,140.072052,31.636675,-226.314056,151.164856,66.012955,-190.067932,240.552414,20.527245,-27.741398,-43.390621,300.456543,,,,,,,,,,,,,,,,167.353760,152.090118,46.633087,114.545555,163.797287,16.538017,,,,,,,,,,,,,,,,-188.463211,169.147415,39.562229,-144.505829,182.326675,17.533247
4,0,98.005043,-87.795464,341.749207,112.789505,-146.352097,354.551697,166.936310,-137.140732,327.060425,151.163147,-75.372665,327.082214,225.309830,-134.178741,217.938339,198.998245,-192.868454,202.175888,216.947769,-196.600296,122.404488,242.006927,-141.194366,142.572723,220.314026,-66.530457,77.115143,253.356995,-80.177834,27.355904,230.835052,15.649514,10.209531,205.538223,-2.723572,68.929649,175.599030,103.607971,55.482044,224.925049,99.885529,40.654087,223.744781,124.094093,32.694603,196.910370,125.982124,69.828209,165.545486,222.076614,21.794420,-132.319077,-102.265862,357.902985,-156.127319,-154.159317,355.315857,-211.544083,-138.902557,330.265808,-183.052917,-75.094933,339.706055,-249.653397,-83.117889,215.200104,-264.127991,-141.839096,234.642365,-262.966400,-156.108276,155.624146,-260.713135,-97.353035,132.589951,-253.711319,-67.743843,75.869377,-275.328217,-64.428078,21.404789,-259.273132,17.547424,14.913995,-226.691208,11.700128,67.256226,-191.130997,125.471008,53.581902,-237.962280,116.513489,49.554916,-247.969788,140.079193,31.629864,-226.323074,151.154648,66.013008,-190.070648,240.580032,20.546894,-27.708225,-43.391052,300.411316,,,,,,,,,,,,,,,,167.380447,152.057175,46.629822,114.548691,163.804047,16.534969,,,,,,,,,,,,,,,,-188.465118,169.156357,39.571907,-144.494537,182.330185,17.539856
5,0,98.021935,-87.800034,341.745300,112.818596,-146.349915,354.553894,166.956146,-137.174393,327.010345,151.194626,-75.431702,327.082520,225.327316,-134.188690,217.931824,198.992615,-192.880554,202.174545,216.943726,-196.609329,122.391823,242.003403,-141.214096,142.546265,220.324326,-66.575485,77.059906,253.338165,-80.164406,27.322012,230.834641,15.667241,10.204286,205.541489,-2.724879,68.924652,175.719193,103.538414,55.343533,224.928513,99.837776,40.640343,223.725174,124.085640,32.669525,196.904160,126.009270,69.826859,165.553268,222.077896,21.803797,-132.314117,-102.281563,357.904266,-156.104111,-154.168747,355.305786,-211.541916,-138.927643,330.274933,-183.038483,-75.106560,339.718872,-249.617508,-83.145164,215.183929,-264.124847,-141.862000,234.641373,-262.979279,-156.094666,155.630569,-260.725342,-97.372368,132.587570,-253.717102,-67.755699,75.881920,-275.324890,-64.437752,21.410061,-259.284180,17.538408,14.936607,-226.694916,11.698494,67.245979,-191.123337,125.497658,53.577518,-237.957291,116.512146,49.561871,-247.968552,140.086914,31.634369,-226.312714,151.170837,66.005402,-190.062439,240.546768,20.541824,-27.727896,-43.397991,300.481506,,,,,,,,,,,,,,,,167.374405,152.054092,46.626461,114.707787,163.893875,16.481730,,,,,,,,,,,,,,,,-188.704163,169.334427,39.572254,-144.508026,182.335754,17.544760
6,0,98.033272,-87.804298,341.720520,112.834190,-146.400513,354.517273,166.971985,-137.202835,327.000671,151.197647,-75.445061,327.051636,225.320694,-134.192139,217.930328,198.983978,-192.895020,202.125397,216.943970,-196.641678,122.375740,241.980591,-141.233902,142.539749,220.332779,-66.575363,77.063431,253.343079,-80.174782,27.330311,230.844864,15.658875,10.219622,205.549988,-2.728760,68.909836,175.617691,103.583740,55.470024,224.897049,99.868141,40.624939,223.726303,124.093033,32.665234,196.908707,126.003059,69.811615,165.555725,222.090714,21.795162,-132.287262,-102.327499,357.884583,-156.093842,-154.190216,355.304413,-211.511169,-138.946426,330.272705,-183.007111,-75.161774,339.710114,-249.624481,-83.159233,215.186920,-264.132324,-141.871918,234.651291,-262.995300,-156.088928,155.631363,-260.711823,-97.351479,132.599762,-253.708893,-67.745781,75.874619,-275.329224,-64.434326,21.390741,-259.267822,17.544855,14.927955,-226.703430,11.681468,67.254059,-191.154572,125.469269,53.590012,-237.974136,116.513680,49.564167,-247.971390,140.091354,31.633533,-226.308975,151.149963,66.002647,-190.063446,240.554428,20.538332,-27.708126,-43.474819,300.469696,,,,,,,,,,,,,,,,167.380219,152.036545,46.607258,114.698158,163.881271,16.486134,,,,,,,,,,,,,,,,-188.529770,169.185745,39.598866,-144.497116,182.325729,17.549734
7,0,98.061264,-87.860313,341.720062,112.845093,-146.420639,354.519287,166.962082,-137.210876,326.982361,151.203232,-75.465805,327.044861,225.336029,-134.208023,217.899780,199.007263,-192.893753,202.120544,216.971619,-196.647339,122.352524,241.994232,-141.234970,142.512405,220.344742,-66.567261,77.047943,253.349426,-80.147568,27.281494,230.827881,15.665356,10.202226,205.522400,-2.745344,68.907677,175.620789,103.589859,55.458225,224.947723,99.828705,40.616306,223.722549,124.074028,32.649212,196.911331,126.019958,69.784370,165.536346,222.070358,21.797581,-132.282730,-102.355629,357.875000,-156.048859,-154.233688,355.282501,-211.495590,-138.971741,330.289124,-183.006821,-75.163208,339.755402,-249.627090,-83.158890,215.189529,-264.134583,-141.879562,234.656479,-262.968964,-156.067810,155.623001,-260.720001,-97.351997,132.620377,-253.712631,-67.739906,75.877472,-275.330231,-64.439285,21.394823,-259.281372,17.531286,14.913570,-226.701004,11.676379,67.241409,-191.150696,125.495789,53.576801,-237.961761,116.515694,49.551292,-247.980072,140.093948,31.634073,-226.311722,151.168976,65.991783,-190.086700,240.576599,20.553520,-27.703053,-43.474884,300.483856,,,,,,,,,,,,,,,,167.342194,152.084625,46.635029,114.547668,163.794403,16.539587,,,,,,,,,,,,,,,,-188.530106,169.201324,39.544212,-144.498062,182.307617,17.546469
8,0,98.075371,-87.859634,341.728882,112.852547,-146.423737,354.509216,166.961243,-137.204269,326.956543,151.205353,-75.469612,327.047363,225.340485,-134.191986,217.873428,199.004898,-192.884933,202.090347,216.967041,-196.648071,122.354614,242.010544,-141.235611,142.501923,220.339569,-66.572350,77.050583,253.367401,-80.206902,27.257603,230.844666,15.680637,10.166188,205.532120,-2.742676,68.897629,175.594498,103.593666,55.478355,224.940933,99.837685,40.626987,223.706848,124.067673,32.637901,196.904327,125.986603,69.808205,165.562851,222.086548,21.771662,-132.290207,-102.373779,357.898071,-156.035172,-154.248749,355.285889,-211.490036,-138.981689,330.287872,-182.986923,-75.178658,339.755310,-249.616669,-83.142357,215.238068,-264.122192,-141.885513,234.671875,-262.968506,-156.059830,155.633179,-260.714691,-97.365471,132.642914,-253.741348,-67.695503,75.885857,-275.317230,-64.435875,21.386612,-259.291779,17.538864,14.929184,-226.710251,11.671809,67.245316,-191.173553,125.466286,53.586796,-237.933609,116.491692,49.543671,-247.977219,140.088257,31.624594,-226.299103,151.170410,65.990532,-190.094986,240.569168,20.551777,-27.697134,-43.486786,300.490265,,,,,,,,,,,,,,,,167.366043,152.046875,46.588413,114.695541,163.873520,16.495308,,,,,,,,,,,,,,,,-188.705185,169.345612,39.564079,-144.511353,182.322586,17.544279
9,0,98.093155,-87.860901,341.735229,112.861740,-146.415085,354.469421,166.966125,-137.216095,326.963226,151.228271,-75.523491,327.041565,225.365356,-134.245773,217.879974,199.039093,-192.931595,202.111526,216.969788,-196.637482,122.356178,242.015518,-141.216431,142.464600,220.344193,-66.570427,77.047440,253.327972,-80.161026,27.260405,230.842255,15.649021,10.208897,205.530975,-2.749490,68.909142,175.632935,103.559891,55.454887,224.941483,99.882454,40.637966,223.692917,124.060440,32.680038,196.931244,125.994057,69.803925,165.559891,222.094406,21.800877,-132.267258,-102.362213,357.936584,-156.024048,-154.259979,355.305634,-211.484818,-138.986710,330.311890,-182.981720,-75.204407,339.765106,-249.624634,-83.165596,215.248825,-264.099548,-141.942062,234.670822,-262.987244,-156.026077,155.691742,-260.721466,-97.380531,132.647614,-253.745087,-67.696159,75.881218,-275.315552,-64.435013,21.406372,-259.278931,17.540747,14.921293,-226.702286,11.670138,67.259285,-191.142258,125.478951,53.574574,-237.924149,116.486801,49.519619,-247.985565,140.091003,31.639225,-226.318451,151.165848,65.983887,-190.086044,240.564362,20.556160,-27.694576,-43.489971,300.503906,,,,,,,,,,,,,,,,167.398834,152.063141,46.610527,114.746597,163.937332,16.508953,,,,,,,,,,,,,,,,-188.557404,169.226395,39.556595,-144.510193,182.319000,17.562908
